frm_cd,comp_cd,prc_typ_cd,use_dims,use_yn,del_yn,comp_nm
PRF_NAMECARD_MINISHAPE,COMP_NAMECARD_MINISHAPE_S1,PRICE_TYPE.02,"[""siz_cd"", ""min_qty"", ""print_opt_cd""]",Y,N,미니모양명함 완제품가 단면(용지포함)
PRF_NAMECARD_MINISHAPE,COMP_NAMECARD_MINISHAPE_S2,PRICE_TYPE.02,"[""siz_cd"", ""min_qty"", ""print_opt_cd""]",Y,N,미니모양명함 완제품가 양면(용지포함)
PRF_NAMECARD_PEARL,COMP_NAMECARD_PEARL_S1,PRICE_TYPE.02,"[""mat_cd"", ""min_qty"", ""print_opt_cd""]",Y,N,펄명함(스타드림) 완제품가 단면(용지포함)
PRF_NAMECARD_PEARL,COMP_NAMECARD_PEARL_S2,PRICE_TYPE.02,"[""mat_cd"", ""min_qty"", ""print_opt_cd""]",Y,N,펄명함(스타드림) 완제품가 양면(용지포함)
PRF_NAMECARD_PEARL_FOIL,COMP_FOIL_PROC_SMALL_SPECIAL,PRICE_TYPE.03,"[""proc_cd"", ""siz_width"", ""siz_height"", ""min_qty""]",Y,N,박 가공비(소형·특수박)
PRF_NAMECARD_PEARL_FOIL,COMP_FOIL_PROC_SMALL_STD,PRICE_TYPE.03,"[""proc_cd"", ""siz_width"", ""siz_height"", ""min_qty""]",Y,N,박 가공비(소형·일반박)
PRF_NAMECARD_PEARL_FOIL,COMP_FOIL_SETUP_SMALL,PRICE_TYPE.03,"[""proc_cd""]",Y,N,박·형압 동판셋업비(소형)
PRF_NAMECARD_PEARL_FOIL,COMP_NAMECARD_PEARL_S1,PRICE_TYPE.02,"[""mat_cd"", ""min_qty"", ""print_opt_cd""]",Y,N,펄명함(스타드림) 완제품가 단면(용지포함)
PRF_NAMECARD_PEARL_FOIL,COMP_NAMECARD_PEARL_S2,PRICE_TYPE.02,"[""mat_cd"", ""min_qty"", ""print_opt_cd""]",Y,N,펄명함(스타드림) 완제품가 양면(용지포함)
PRF_NAMECARD_PREMIUM,COMP_NAMECARD_PREMIUM_S1_MGA,PRICE_TYPE.02,"[""mat_cd"", ""print_opt_cd"", ""min_qty""]",Y,N,프리미엄명함A 완제품가 단면(용지포함)
PRF_NAMECARD_PREMIUM,COMP_NAMECARD_PREMIUM_S1_MGB,PRICE_TYPE.02,"[""mat_cd"", ""print_opt_cd"", ""min_qty""]",Y,N,프리미엄명함B 완제품가 단면(용지포함)
PRF_NAMECARD_PREMIUM,COMP_NAMECARD_PREMIUM_S2_MGA,PRICE_TYPE.02,"[""mat_cd"", ""print_opt_cd"", ""min_qty""]",Y,N,프리미엄명함A 완제품가 양면(용지포함)
PRF_NAMECARD_PREMIUM,COMP_NAMECARD_PREMIUM_S2_MGB,PRICE_TYPE.02,"[""mat_cd"", ""print_opt_cd"", ""min_qty""]",Y,N,프리미엄명함B 완제품가 양면(용지포함)
PRF_NAMECARD_PREMIUM,COMP_PP_CORNER_RIGHT,PRICE_TYPE.03,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000026""]",Y,N,귀돌이비
PRF_NAMECARD_PREMIUM,COMP_PP_VARIMG_1EA,PRICE_TYPE.03,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000085""]",Y,N,가변이미지
PRF_NAMECARD_PREMIUM,COMP_PP_VARTEXT_1EA,PRICE_TYPE.03,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000085""]",Y,N,가변텍스트
PRF_NAMECARD_PREMIUM_FOIL,COMP_FOIL_PROC_SMALL_SPECIAL,PRICE_TYPE.03,"[""proc_cd"", ""siz_width"", ""siz_height"", ""min_qty""]",Y,N,박 가공비(소형·특수박)
PRF_NAMECARD_PREMIUM_FOIL,COMP_FOIL_PROC_SMALL_STD,PRICE_TYPE.03,"[""proc_cd"", ""siz_width"", ""siz_height"", ""min_qty""]",Y,N,박 가공비(소형·일반박)
PRF_NAMECARD_PREMIUM_FOIL,COMP_FOIL_SETUP_SMALL,PRICE_TYPE.03,"[""proc_cd""]",Y,N,박·형압 동판셋업비(소형)
PRF_NAMECARD_PREMIUM_FOIL,COMP_NAMECARD_PREMIUM_S1_MGA,PRICE_TYPE.02,"[""mat_cd"", ""print_opt_cd"", ""min_qty""]",Y,N,프리미엄명함A 완제품가 단면(용지포함)
PRF_NAMECARD_PREMIUM_FOIL,COMP_NAMECARD_PREMIUM_S1_MGB,PRICE_TYPE.02,"[""mat_cd"", ""print_opt_cd"", ""min_qty""]",Y,N,프리미엄명함B 완제품가 단면(용지포함)
PRF_NAMECARD_PREMIUM_FOIL,COMP_NAMECARD_PREMIUM_S2_MGA,PRICE_TYPE.02,"[""mat_cd"", ""print_opt_cd"", ""min_qty""]",Y,N,프리미엄명함A 완제품가 양면(용지포함)
PRF_NAMECARD_PREMIUM_FOIL,COMP_NAMECARD_PREMIUM_S2_MGB,PRICE_TYPE.02,"[""mat_cd"", ""print_opt_cd"", ""min_qty""]",Y,N,프리미엄명함B 완제품가 양면(용지포함)
PRF_NAMECARD_PREMIUM_FOIL,COMP_PP_CORNER_RIGHT,PRICE_TYPE.03,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000026""]",Y,N,귀돌이비
PRF_NAMECARD_PREMIUM_FOIL,COMP_PP_VARIMG_1EA,PRICE_TYPE.03,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000085""]",Y,N,가변이미지
PRF_NAMECARD_PREMIUM_FOIL,COMP_PP_VARTEXT_1EA,PRICE_TYPE.03,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000085""]",Y,N,가변텍스트
PRF_NAMECARD_SHAPE,COMP_NAMECARD_SHAPE_S1,PRICE_TYPE.02,"[""siz_cd"", ""min_qty"", ""print_opt_cd""]",Y,N,모양명함 완제품가 단면(용지포함)
PRF_NAMECARD_SHAPE,COMP_NAMECARD_SHAPE_S2,PRICE_TYPE.02,"[""siz_cd"", ""min_qty"", ""print_opt_cd""]",Y,N,모양명함 완제품가 양면(용지포함)
PRF_NAMECARD_WHITE,COMP_NAMECARD_WHITE_S1W_CL,PRICE_TYPE.02,"[""print_opt_cd"", ""opt_cd"", ""min_qty"", ""opt_grp:OPT_000081""]",Y,N,화이트인쇄명함 완제품가 단면·코팅(용지포함)
PRF_NAMECARD_WHITE,COMP_NAMECARD_WHITE_S1W_NOCL,PRICE_TYPE.02,"[""print_opt_cd"", ""opt_cd"", ""min_qty"", ""opt_grp:OPT_000081""]",Y,N,화이트인쇄명함 완제품가 단면·무코팅(용지포함)
PRF_NAMECARD_WHITE,COMP_NAMECARD_WHITE_S2W_CL,PRICE_TYPE.02,"[""print_opt_cd"", ""opt_cd"", ""min_qty"", ""opt_grp:OPT_000081""]",Y,N,화이트인쇄명함 완제품가 양면·코팅(용지포함)
PRF_NAMECARD_WHITE,COMP_NAMECARD_WHITE_S2W_NOCL,PRICE_TYPE.02,"[""print_opt_cd"", ""opt_cd"", ""min_qty"", ""opt_grp:OPT_000081""]",Y,N,화이트인쇄명함 완제품가 양면·무코팅(용지포함)
PRF_PCB_FIXED,COMP_PCB_S1_20P,PRICE_TYPE.01,"[""siz_cd"", ""min_qty"", ""print_opt_cd"", ""opt_cd"", ""opt_grp:OPT_000082""]",Y,N,엽서북 완제품가 단면·20p
PRF_PCB_FIXED,COMP_PCB_S1_30P,PRICE_TYPE.01,"[""siz_cd"", ""min_qty"", ""print_opt_cd"", ""opt_cd"", ""opt_grp:OPT_000082""]",Y,N,엽서북 완제품가 단면·30p
PRF_PCB_FIXED,COMP_PCB_S2_20P,PRICE_TYPE.01,"[""siz_cd"", ""min_qty"", ""print_opt_cd"", ""opt_cd"", ""opt_grp:OPT_000082""]",Y,N,엽서북 완제품가 양면·20p
PRF_PCB_FIXED,COMP_PCB_S2_30P,PRICE_TYPE.01,"[""siz_cd"", ""min_qty"", ""print_opt_cd"", ""opt_cd"", ""opt_grp:OPT_000082""]",Y,N,엽서북 완제품가 양면·30p
PRF_PHOTOBOOK_FIXED,COMP_PHOTOBOOK_BASE,PRICE_TYPE.01,"[""siz_cd"", ""opt_cd"", ""min_qty""]",Y,N,포토북 완제품가 기본24P(사이즈·표지타입별)
PRF_PHOTOBOOK_INNER,COMP_PHOTOBOOK_PAGE,PRICE_TYPE.01,"[""siz_cd"", ""min_qty""]",Y,N,포토북 추가2P당(사이즈별)
PRF_PHOTOCARD_CLEAR,COMP_PHOTOCARD_CLEAR_SET,PRICE_TYPE.02,"[""siz_cd"", ""bdl_qty"", ""min_qty""]",Y,N,포토카드 완제품가 투명세트
PRF_PHOTOCARD_FIXED,COMP_PHOTOCARD_CLEAR_SET,PRICE_TYPE.02,"[""siz_cd"", ""bdl_qty"", ""min_qty""]",Y,N,포토카드 완제품가 투명세트
PRF_PHOTOCARD_FIXED,COMP_PHOTOCARD_SET,PRICE_TYPE.02,"[""siz_cd"", ""bdl_qty"", ""min_qty"", ""opt_cd"", ""opt_grp:OPT_000084""]",Y,N,포토카드 완제품가 일반세트
PRF_PHOTOCARD_NORMAL,COMP_PHOTOCARD_BULK,PRICE_TYPE.02,"[""min_qty"", ""opt_cd"", ""opt_grp:OPT_000084""]",Y,N,포토카드 완제품가 대량
PRF_PHOTOCARD_NORMAL,COMP_PHOTOCARD_SET,PRICE_TYPE.02,"[""siz_cd"", ""bdl_qty"", ""min_qty"", ""opt_cd"", ""opt_grp:OPT_000084""]",Y,N,포토카드 완제품가 일반세트
PRF_POSTER_ACRYLSTK_GLOSS,COMP_POSTER_ACRYLSTK_GLOSS,PRICE_TYPE.01,"[""siz_cd""]",Y,N,유광아크릴스티커 완제품가
PRF_POSTER_ACRYLSTK_MIRROR,COMP_POSTER_ACRYLSTK_MIRROR,PRICE_TYPE.01,"[""siz_cd""]",Y,N,미러아크릴스티커 완제품가
PRF_POSTER_ADH_CLEAR,COMP_POSTER_ADH_CLEAR_PVC,PRICE_TYPE.01,"[""siz_width"", ""siz_height""]",Y,N,실사 완제품가 (접착투명포스터)
PRF_POSTER_ADH_WP,COMP_POSTER_ARTPRINT_PHOTO,PRICE_TYPE.01,"[""siz_width"", ""siz_height"", ""min_qty""]",Y,N,실사 완제품가 (아트프린트포스터·접착방수포스터·아트패브릭포스터·방수포스터)
PRF_POSTER_ARTFABRIC,COMP_POSTER_ARTPRINT_PHOTO,PRICE_TYPE.01,"[""siz_width"", ""siz_height"", ""min_qty""]",Y,N,실사 완제품가 (아트프린트포스터·접착방수포스터·아트패브릭포스터·방수포스터)
PRF_POSTER_ARTPAPER,COMP_POSTER_ARTPAPER_MATTE,PRICE_TYPE.01,"[""siz_width"", ""siz_height""]",Y,N,실사 완제품가 (아트페이퍼포스터)
PRF_POSTER_ARTPRINT,COMP_POSTER_ARTPRINT_PHOTO,PRICE_TYPE.01,"[""siz_width"", ""siz_height"", ""min_qty""]",Y,N,실사 완제품가 (아트프린트포스터·접착방수포스터·아트패브릭포스터·방수포스터)
PRF_POSTER_BANNER_M,COMP_POSTER_BANNER_MESH,PRICE_TYPE.01,"[""siz_width"", ""siz_height""]",Y,N,실사 완제품가 (메쉬현수막)
PRF_POSTER_BANNER_M,COMP_POSTEROPT_BANNER_MESH_ADD_QBANG_4,PRICE_TYPE.01,"[""opt_cd"", ""opt_grp:OPT_000023""]",Y,N,메쉬현수막 큐방(4개) 추가가격
PRF_POSTER_BANNER_M,COMP_POSTEROPT_BANNER_MESH_ADD_STRING_4,PRICE_TYPE.01,"[""opt_cd"", ""opt_grp:OPT_000023""]",Y,N,메쉬현수막 끈(4개) 추가가격
PRF_POSTER_BANNER_M,COMP_POSTEROPT_BANNER_MESH_PROC_PUNCH_4,PRICE_TYPE.01,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000079""]",Y,N,메쉬현수막 타공(4개) 추가가격
PRF_POSTER_BANNER_M,COMP_POSTEROPT_BANNER_MESH_PROC_PUNCH_6,PRICE_TYPE.01,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000079""]",Y,N,메쉬현수막 타공(6개) 추가가격
PRF_POSTER_BANNER_M,COMP_POSTEROPT_BANNER_MESH_PROC_PUNCH_8,PRICE_TYPE.01,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000079""]",Y,N,메쉬현수막 타공(8개) 추가가격
PRF_POSTER_BANNER_N,COMP_POPT_BNR_GAKMOK_STR_900_4_GT,PRICE_TYPE.01,"[""opt_cd"", ""opt_grp:OPT_000004""]",Y,N,현수막 각목(900mm 초과)+끈(4개) 추가가격
PRF_POSTER_BANNER_N,COMP_POPT_BNR_GAKMOK_STR_900_4_LE,PRICE_TYPE.01,"[""opt_cd"", ""opt_grp:OPT_000004""]",Y,N,현수막 각목(900mm이하)+끈(4개) 추가가격
PRF_POSTER_BANNER_N,COMP_POSTER_BANNER_NORMAL,PRICE_TYPE.01,"[""siz_width"", ""siz_height""]",Y,N,실사 완제품가 (일반현수막)
PRF_POSTER_BANNER_N,COMP_POSTEROPT_BANNER_NORMAL_ADD_QBANG_4,PRICE_TYPE.01,"[""opt_cd"", ""opt_grp:OPT_000004""]",Y,N,일반현수막 큐방(4개) 추가가격
PRF_POSTER_BANNER_N,COMP_POSTEROPT_BANNER_NORMAL_ADD_STRING_4,PRICE_TYPE.01,"[""opt_cd"", ""opt_grp:OPT_000004""]",Y,N,일반현수막 끈(4개) 추가가격
PRF_POSTER_BANNER_N,COMP_POSTEROPT_BANNER_NORMAL_PROC_BONGSEW,PRICE_TYPE.01,"[""opt_cd"", ""opt_grp:OPT_000003""]",Y,N,일반현수막 봉미싱 추가가격
PRF_POSTER_BANNER_N,COMP_POSTEROPT_BANNER_NORMAL_PROC_CUTEDGE,PRICE_TYPE.01,"[""opt_cd"", ""opt_grp:OPT_000003""]",Y,N,일반현수막 열재단 추가가격
PRF_POSTER_BANNER_N,COMP_POSTEROPT_BANNER_NORMAL_PROC_DTAPE,PRICE_TYPE.01,"[""opt_cd"", ""opt_grp:OPT_000003""]",Y,N,일반현수막 양면테잎 추가가격
PRF_POSTER_BANNER_N,COMP_POSTEROPT_BANNER_NORMAL_PROC_PUNCH_4,PRICE_TYPE.01,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000104""]",Y,N,일반현수막 타공(4개) 추가가격
PRF_POSTER_CANVAS,COMP_POSTER_CANVAS_FABRIC,PRICE_TYPE.01,"[""siz_width"", ""siz_height"", ""min_qty""]",Y,N,실사 완제품가 (캔버스패브릭포스터·레더아트프린트·메쉬프린트·타이벡프린트)
PRF_POSTER_CANVAS_HANGING,COMP_POSTER_CANVAS_HANGING,PRICE_TYPE.01,"[""siz_width"", ""siz_height"", ""min_qty""]",Y,N,캔버스 행잉포스터 완제품가
PRF_POSTER_CANVAS_HANGING,COMP_POSTEROPT_CANVAS_HANGING_WOODHANGER,PRICE_TYPE.01,"[""opt_cd"", ""siz_cd"", ""opt_grp:OPT_000012""]",Y,N,캔버스행잉포스터 우드행거+면끈 추가가격
PRF_POSTER_FIXED,COMP_POSTER_ARTPRINT_PHOTO,PRICE_TYPE.01,"[""siz_width"", ""siz_height"", ""min_qty""]",Y,N,실사 완제품가 (아트프린트포스터·접착방수포스터·아트패브릭포스터·방수포스터)
PRF_POSTER_FOAMBOARD,COMP_POSTER_FOAMBOARD_BOARD,PRICE_TYPE.01,"[""mat_cd"", ""siz_cd""]",Y,N,폼보드(보드칼라×사이즈) 완제품가
PRF_POSTER_FOMEXBOARD,COMP_POSTER_FOMEXBOARD_BOARD,PRICE_TYPE.01,"[""mat_cd"", ""siz_cd""]",Y,N,포맥스보드(두께×사이즈) 완제품가
PRF_POSTER_FRAMELESS,COMP_POSTER_FRAMELESS_WOOD,PRICE_TYPE.01,"[""siz_cd"", ""min_qty""]",Y,N,프레임리스우드액자 완제품가
PRF_POSTER_JOKJA,COMP_POSTER_JOKJA,PRICE_TYPE.01,"[""siz_cd"", ""min_qty""]",Y,N,족자포스터 완제품가
PRF_POSTER_JOKJA,COMP_POSTEROPT_JOKJA_CEILHOOK,PRICE_TYPE.01,"[""opt_cd"", ""min_qty""]",Y,N,족자포스터 천정형고리 추가가격
PRF_POSTER_LEATHER_AP,COMP_POSTER_CANVAS_FABRIC,PRICE_TYPE.01,"[""siz_width"", ""siz_height"", ""min_qty""]",Y,N,실사 완제품가 (캔버스패브릭포스터·레더아트프린트·메쉬프린트·타이벡프린트)
PRF_POSTER_LEATHER_FRAME,COMP_POSTER_LEATHER_FRAME,PRICE_TYPE.01,"[""siz_cd"", ""min_qty""]",Y,N,레더아트액자 완제품가
PRF_POSTER_LINEN,COMP_POSTER_LINEN_FABRIC,PRICE_TYPE.01,"[""siz_width"", ""siz_height""]",Y,N,실사 완제품가 (린넨패브릭포스터)
PRF_POSTER_LINEN,COMP_POSTEROPT_LINEN_FINISH,PRICE_TYPE.01,"[""opt_cd"", ""min_qty""]",Y,N,린넨 마감가공비
PRF_POSTER_LINEN_WOODBONG,COMP_POSTER_LINEN_WOODBONG,PRICE_TYPE.01,"[""siz_cd"", ""min_qty""]",Y,N,린넨 우드봉 족자 완제품가
PRF_POSTER_LINEN_WOODBONG,COMP_POSTEROPT_LINEN_WOODBONG_WOODBONG,PRICE_TYPE.01,"[""opt_cd"", ""siz_cd"", ""opt_grp:OPT_000014""]",Y,N,린넨우드봉족자 우드봉+면끈 추가가격
PRF_POSTER_MESH,COMP_POSTER_CANVAS_FABRIC,PRICE_TYPE.01,"[""siz_width"", ""siz_height"", ""min_qty""]",Y,N,실사 완제품가 (캔버스패브릭포스터·레더아트프린트·메쉬프린트·타이벡프린트)
PRF_POSTER_MESH_BANNER,COMP_POSTER_MESH_BANNER,PRICE_TYPE.01,"[""siz_cd"", ""min_qty""]",Y,N,메쉬배너 완제품가
PRF_POSTER_MINI_BANNER,COMP_POSTER_MINI_BANNER,PRICE_TYPE.01,"[""siz_cd"", ""min_qty""]",Y,N,미니배너 완제품가
PRF_POSTER_MINI_STANDBOARD,COMP_POSTER_MINI_STANDBOARD,PRICE_TYPE.01,"[""siz_cd"", ""min_qty""]",Y,N,미니보드스탠딩 완제품가
PRF_POSTER_PET_BANNER,COMP_POSTEROPT_PET_BANNER_STAND_SEL,PRICE_TYPE.01,"[""mat_cd""]",Y,N,PET배너 거치대(실내/실외) 선택 추가가격
PRF_POSTER_PET_BANNER,COMP_POSTER_PET_BANNER,PRICE_TYPE.01,"[""siz_cd"", ""min_qty""]",Y,N,PET배너 완제품가
PRF_POSTER_SHEETCUT_HOLO,COMP_POSTER_SHEETCUT_HOLO,PRICE_TYPE.01,"[""siz_cd""]",Y,N,홀로그램 시트커팅 완제품가
PRF_POSTER_SHEETCUT_MATTE,COMP_POSTER_SHEETCUT_MATTE,PRICE_TYPE.01,"[""siz_cd""]",Y,N,무광시트커팅 완제품가
PRF_POSTER_TYVEK,COMP_POSTER_CANVAS_FABRIC,PRICE_TYPE.01,"[""siz_width"", ""siz_height"", ""min_qty""]",Y,N,실사 완제품가 (캔버스패브릭포스터·레더아트프린트·메쉬프린트·타이벡프린트)
PRF_POSTER_WATERPROOF,COMP_POSTER_ARTPRINT_PHOTO,PRICE_TYPE.01,"[""siz_width"", ""siz_height"", ""min_qty""]",Y,N,실사 완제품가 (아트프린트포스터·접착방수포스터·아트패브릭포스터·방수포스터)
PRF_STK_FIXED,COMP_STK_PRINT,PRICE_TYPE.01,"[""siz_cd"", ""mat_cd"", ""min_qty""]",Y,N,스티커 완제품가(소재·규격)
PRF_STK_PACK,COMP_STK_PACK,PRICE_TYPE.02,"[""siz_cd"", ""min_qty""]",Y,N,스티커 완제품가 팩(54장1세트)
PRF_STK_TATTOO,COMP_STK_TATTOO,PRICE_TYPE.02,"[""siz_cd"", ""mat_cd"", ""min_qty""]",Y,N,타투스티커 완제품가(3장세트)
PRF_STN_DIARY_HARD,COMP_STN_DIARY_HARD,PRICE_TYPE.01,"[""siz_cd"", ""min_qty""]",Y,N,만년다이어리(하드커버) 완제품가
PRF_STN_DIARY_LHARD,COMP_STN_DIARY_LHARD,PRICE_TYPE.01,"[""siz_cd"", ""min_qty""]",Y,N,만년다이어리(레더하드커버) 완제품가
PRF_STN_DIARY_LSOFT,COMP_STN_DIARY_LSOFT,PRICE_TYPE.01,"[""siz_cd"", ""min_qty""]",Y,N,만년다이어리(레더소프트커버) 완제품가
PRF_STN_DIARY_SOFT,COMP_STN_DIARY_SOFT,PRICE_TYPE.01,"[""siz_cd"", ""min_qty""]",Y,N,만년다이어리(소프트커버) 완제품가
PRF_STN_JUNGCHEOL,COMP_STN_JUNGCHEOL,PRICE_TYPE.01,"[""siz_cd"", ""min_qty""]",Y,N,중철노트 완제품가
PRF_STN_MEMOPAD,COMP_STN_MEMOPAD,PRICE_TYPE.01,"[""siz_cd"", ""min_qty""]",Y,N,메모패드 완제품가
PRF_STN_MONTHLY,COMP_STN_MONTHLY,PRICE_TYPE.01,"[""siz_cd"", ""min_qty""]",Y,N,먼슬리플래너 완제품가
PRF_STN_SPRINGNOTE,COMP_STN_SPRINGNOTE,PRICE_TYPE.01,"[""siz_cd"", ""min_qty""]",Y,N,스프링노트 완제품가
PRF_STN_SPRINGNOTEBK,COMP_STN_SPRINGNOTEBK,PRICE_TYPE.01,"[""siz_cd"", ""min_qty""]",Y,N,스프링수첩 완제품가
PRF_TTEOKME_FIXED,COMP_TTEOKME,PRICE_TYPE.01,"[""siz_cd"", ""bdl_qty"", ""min_qty""]",Y,N,떡메모지 완제품가(권당장수)
PRF_ZIBITZ_ACRYL,COMP_ACRYL_ZIBITZ,PRICE_TYPE.01,"[""opt_cd"", ""min_qty"", ""opt_grp:OPT_000083""]",Y,N,아크릴지비츠 가공(투명/스핀) 완제품가
