prd_cd,prd_nm,map_category,status,cat_cd,cat_nm,main_cat_yn,match_level,live_opt_n,live_priced,multi_class,note
PRD_000273,타이벡 양면 백팩,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
PRD_000274,타이벡보냉보틀백,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
PRD_000275,타이벡 보냉미니백,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
PRD_000276,타이벡 에코백,11 에코백,YELLOW,CAT_000263,타이벡에코백,Y,L2노드일치,0,N,,
PRD_000277,타이벡 보냉에코백,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
PRD_000278,메쉬 토트백,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
PRD_000279,메쉬 에코백,11 에코백,YELLOW,CAT_000269,메쉬에코백,Y,L2노드일치,0,N,,
PRD_000280,레더라벨제작,11 에코백,YELLOW,CAT_000011,에코백,Y,L1직속,0,N,,
PRD_000283,트레싱지봉투,12 포장,YELLOW,CAT_000012,포장,Y,L1직속,0,N,,
,골드실버아크릴명찰,09 아크릴,RED,CAT_000009,아크릴,Y,L1직속,,,,
,아이스머그컵,10 라이프,RED,CAT_000010,라이프,Y,L1직속,,,,
,심플모던포토북,06 책자,RED,CAT_000109,심플모던포토북,Y,L3노드일치,,,,
,여행포토북,06 책자,RED,CAT_000110,여행포토북,Y,L3노드일치,,,,
,큐티키즈포토북,06 책자,RED,CAT_000111,큐티키즈포토북,Y,L3노드일치,,,,
,와이드접지리플랫,03 인쇄홍보물,RED,CAT_000003,인쇄홍보물,Y,L1직속,,,,
,와블러,12 포장,RED,CAT_000012,포장,Y,L1직속,,,,
,LED키캡키링,10 라이프,RED,CAT_000010,라이프,Y,L1직속,,,,
,유니폼키링,10 라이프,RED,CAT_000010,라이프,Y,L1직속,,,,
,우치와키링,10 라이프,RED,CAT_000010,라이프,Y,L1직속,,,,
,오마모리키링,10 라이프,RED,CAT_000010,라이프,Y,L1직속,,,,
