프로세스,프로세스명,종류,row_id,내용,진단,제안 담당,선행
P10,원고 올리기,다 코드는 있는데 연결 안 됨,STD-ART-006,주문 이후 파일 업로드 경로(결제 후 입고),결제가 끝나도 Edicus 쪽 프로젝트는 editing 에 머물고 인쇄 데이터 생성이 시작되지 않는다(edicus_lookup.py 자체 주석) — 원고 파일(S3)의 tmp→order 승격은 order/register 직후 구현돼 있으나 편집기 산출물(Edicus definitive_order) 쪽 후속 배선은 TODO(edicus-G7)로 미완.,서희항,코드는 있는데 원장 상태가 「부분」다
P10,원고 올리기,다 코드는 있는데 연결 안 됨,STD-ART-007,파일 재업로드·버전 이력 보관,build_order_key 의 r{rev}(회차) 세그먼트가 재업로드본을 덮어쓰지 않고 쌓는다고 docstring에 명시 — 버전 이력 보관 설계·구현 확인.,서희항,코드는 있는데 원장 상태가 「부분」다
P10,원고 올리기,다 코드는 있는데 연결 안 됨,STD-ART-029,가변데이터 인쇄(VDP) 데이터 업로드·병합,Edicus 공식 데모(demo-vdp)에 VDP 데이터 업로드·저장(loadVdpData/saveVdpData) 기능이 있으나 webadmin/huni-mall 쪽에는 VDP 취소 시 데이터 삭제를 언급하는 주석 한 줄(edicus_lookup.py:391) 외 통합 코드가 없음 — Edicus SDK 자체 기능만 확인,김동학,코드는 있는데 원장 상태가 「미착수」다
P11,올린 원고 확인하기,나 행은 있는데 코드 0,STD-ART-019,업로드 파일 썸네일·PDF 미리보기,6135)만 있고 고객 업로드 파일의 썸네일·PDF 미리보기 코드 없음),서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P11,올린 원고 확인하기,나 행은 있는데 코드 0,STD-ART-020,재단선 오버레이 미리보기,사이즈 설명용 겹상자 그림(MediaBox/BleedBox/TrimBox 식)은 있으나 업로드 파일 자체에 대한 재단선 오버레이 미리보기는 아님 — 혼동 방지를 위해 found=N으로 판정.,서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P12,에디터로 디자인하기,가 원장에 행 없음,,에디터 산출물 변환 실패 처리,인쇄용 파일 변환이 실패했을 때의 손님 안내·재시도가 원장에 없다,서희항,원장 735행에 행을 새로 섞지 않는다 — 이 제안으로만 남긴다
P12,에디터로 디자인하기,다 코드는 있는데 연결 안 됨,STD-ART-021,온라인 디자인 에디터 진입,_onEditor 가 huni:editor(cancelable) 발화 후 /api/w/v1/editor/resolve 호출 → 오버레이로 편집기 진입시키는 전체 흐름.,서희항,코드는 있는데 원장 상태가 「부분」다
P12,에디터로 디자인하기,다 코드는 있는데 연결 안 됨,STD-ART-030,「옵션 조합에 연결된 편집기 템플릿 없음」 오류 — 에디쿠스 템플릿 연결 점검,gap_report()가 편집기 버튼은 켜졌는데 템플릿 0행([C]류,서희항,코드는 있는데 원장 상태가 「미착수」다
P12,에디터로 디자인하기,다 코드는 있는데 연결 안 됨,STD-ART-031,삭제된 사이즈 코드가 연결된 템플릿 전수조사(800여 개 중 노출 대상 선별),gap_report()의 dead(죽은 행 = 템플릿이 가리키는 값을 고객이 못 고름,서희항,코드는 있는데 원장 상태가 「미착수」다
P12,에디터로 디자인하기,나 행은 있는데 코드 0,STD-ART-032,에디쿠스 테스트용 단순 상품(메모패드 등) 제공,CLAUDE.md·STATE.md 의 메모패드 언급은 전부 STD-ART-030/031 사고 재현·감사 도입 계기이지 테스트용 단순 상품 제공 자체는 별도 산출물로 존재하지 않음.,서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P12,에디터로 디자인하기,다 코드는 있는데 연결 안 됨,STD-ART-025,선택 옵션(사이즈·페이지)과 에디터 캔버스 동기화,_onEditor 가 매번 selections/sel_opts/proc_sels 를 모아 서버 resolve 를 다시 불러 ps_cd/tmpl_uri 를 재산출 — 옵션 변경 시 편집기 규격이 재동기화됨.,서희항,코드는 있는데 원장 상태가 「부분」다
P12,에디터로 디자인하기,다 코드는 있는데 연결 안 됨,STD-ART-023,에디터 작업물 저장·재편집,sdk.on(save) 가 setEditorResult 로 prjid 저장(613-615) 이후 재진입 시 prev.prjid 있으면 openProject 로 이어 편집(631-632) — 저장·재편집 확인.,서희항,코드는 있는데 원장 상태가 「미착수」다
P12,에디터로 디자인하기,다 코드는 있는데 연결 안 됨,STD-ART-024,에디터 산출물 인쇄용 파일 변환·주문 연결,handoff payload 의 editors[]에 prjid 가 실려 주문에 연결되나(구조는 확인) Edicus 쪽 실제 인쇄용 고해상 파일 렌더링(definitive_order)은 edicus_lookup.py 주석상 미배선 — 주문 연결은 부분,서희항,코드는 있는데 원장 상태가 「부분」다
P13,원고 보관·재사용,다 코드는 있는데 연결 안 됨,STD-ART-026,고객 파일 보관기간 정책 적용·만료 삭제,고객이 올린 원고는 30일 시한부인 임시 버킷 이 코드 주석상 여러 곳에서 전제되지만 그 30일 만료·삭제는 S3 버킷 수명주기(인프라 설정)이지 이 저장소 코드가 정의/집행하지 않음 — 정책 반영은 간접 확인,미정,코드는 있는데 원장 상태가 「미착수」다
P13,원고 보관·재사용,다 코드는 있는데 연결 안 됨,STD-ART-027,과거 주문 파일 재사용 재주문,clone_project() 함수(TODO edicus-G9 재주문 설계의 열쇠)는 존재하나 이 함수들은 어디에서도 호출되지 않는다(433-438 주석) — 재사용 재주문 경로는 설계만 있고 미배선.,서희항+김동학,코드는 있는데 원장 상태가 「미착수」다
P14,장바구니 담고 고치기,나 행은 있는데 코드 0,STD-ORD-001,장바구니 담기(인쇄옵션+파일 동반),el.submit() 핸드오프 결과로 OrderLine(옵션+파일/편집 참조 포함 optionInputs)을 만들어 회원은 addToCart 비회원은 addGuestLine 으로 담는다.,김동학,코드·명세를 뒤졌으나 구현을 찾지 못했다
P14,장바구니 담고 고치기,나 행은 있는데 코드 0,STD-ORD-007,비회원 장바구니 계산(비영속),shopby /cart 는 회원 전용 이라 게스트 장바구니는 localStorage(KEY=huni_guest_cart)에만 저장 — 서버 비영속 확인.,김동학,코드·명세를 뒤졌으나 구현을 찾지 못했다
P14,장바구니 담고 고치기,나 행은 있는데 코드 0,STD-ORD-002,장바구니 조회,isGuest 여부로 useCart(회원)/useGuestCart(게스트) 분기해 lines 를 렌더.,김동학,코드·명세를 뒤졌으나 구현을 찾지 못했다
P14,장바구니 담고 고치기,나 행은 있는데 코드 0,STD-ORD-008,장바구니 인쇄사양 요약 표시,장바구니 라인의 optionLabel(구성 요약)과 huni_order 페이로드(qty/total/summary)로 인쇄사양 요약을 라인에 표시.,김동학,코드·명세를 뒤졌으나 구현을 찾지 못했다
P14,장바구니 담고 고치기,나 행은 있는데 코드 0,STD-ORD-003,장바구니 수량/옵션 수정,updateLine 이 회원=memberActions.updateCartItem/게스트=updateGuestLine 로 저장을 추상화하고 위젯 라인은 applyQty 로 재견적 후 수량·옵션을 갱신.,김동학,코드·명세를 뒤졌으나 구현을 찾지 못했다
P14,장바구니 담고 고치기,나 행은 있는데 코드 0,STD-ORD-004,장바구니 항목 삭제,removeLines/removeSelected — 회원=memberActions.removeCartItems 게스트=removeGuestLines(localStorage).,김동학,코드·명세를 뒤졌으나 구현을 찾지 못했다
P14,장바구니 담고 고치기,나 행은 있는데 코드 0,STD-ORD-005,선택 상품 금액 계산,selectedLines 를 lineAmount 로 클라이언트 합산해 totalAmount 표시.,김동학,코드·명세를 뒤졌으나 구현을 찾지 못했다
P14,장바구니 담고 고치기,다 코드는 있는데 연결 안 됨,STD-ORD-006,구매가능 검증(결제 전 sanity),shopby 스펙에 POST /cart/validate(구매가능 검증) 엔드포인트가 정의돼 있으나 huni-mall 코드(src/lib/api) 전수 grep 결과 이 엔드포인트를 호출하는 곳이 없음 — 서버 능력은 있으나 몰이 아직 연결하지 않음.,김동학,코드는 있는데 원장 상태가 「부분」다
P15,주문서 쓰기,나 행은 있는데 코드 0,STD-ORD-009,주문서 작성,useCreateOrderSheet 이 POST /order-sheets 로 cartNos/products 를 실어 주문서를 만든다.,김동학,코드·명세를 뒤졌으나 구현을 찾지 못했다
P15,주문서 쓰기,나 행은 있는데 코드 0,STD-ORD-010,주문서 조회,useOrderSheet 이 GET /order-sheets/{orderSheetNo} 로 주문서 요약을 조회.,김동학,코드·명세를 뒤졌으나 구현을 찾지 못했다
P15,주문서 쓰기,나 행은 있는데 코드 0,STD-ORD-012,주문자/수령자 정보 입력,address.recipient/phone 필드로 수령자 정보를 ordererName/ordererContact1 로 주문자 정보를 입력·전송.,김동학,코드·명세를 뒤졌으나 구현을 찾지 못했다
P15,주문서 쓰기,나 행은 있는데 코드 0,STD-ORD-032,비회원 주문서 무통장 계좌·입금자명 표시(회원 주문서와 동일 여부),회원(checkout-form.tsx)·비회원(guest-checkout-form.tsx) 양쪽 모두 은행 선택 드롭다운+입금자명 입력 필드를 거의 동일한 구조로 구현 — 회원 주문서와 동일 UI 패턴 확인.,김동학,코드·명세를 뒤졌으나 구현을 찾지 못했다
P15,주문서 쓰기,나 행은 있는데 코드 0,STD-ORD-013,배송지 주소 검색(우편번호),AddressSearchModal 이 GET /addresses/search(우편번호 찾기)로 zipCode/roadAddress 를 검색해 채워 넣는다.,김동학,코드·명세를 뒤졌으나 구현을 찾지 못했다
P15,주문서 쓰기,다 코드는 있는데 연결 안 됨,STD-ORD-015,나중배송(배송지 미입력) 주문,/later-input/order(배송지 나중입력 주문) 엔드포인트가 shopby 스펙에 존재하나 huni-mall(src/) 전수 grep 결과 later-input 을 호출하는 코드가 없음 — 서버 능력만 있고 몰 쪽 미구현.,김동학,코드는 있는데 원장 상태가 「미착수」다
P15,주문서 쓰기,나 행은 있는데 코드 0,STD-ORD-014,배송 요청사항 입력,배송메모 TextField(register(address.memo))로 배송 요청사항 입력.,김동학,코드·명세를 뒤졌으나 구현을 찾지 못했다
P15,주문서 쓰기,나 행은 있는데 코드 0,STD-ORD-017,출고 옵션 선택(오늘출고·토요일출고),출고 옵션(오늘출고·토요일출고) 선택 UI/필드를 huni-mall·shopby 스펙 어디서도 못 찾음.,김동학,코드·명세를 뒤졌으나 구현을 찾지 못했다
P15,주문서 쓰기,다 코드는 있는데 연결 안 됨,STD-ORD-016,주문 제목/작업명 입력,전용 주문 제목 입력 필드는 못 찾음 — 위젯 요약(summary)이 그 역할을 부분 대체하는 것으로 추정.,김동학,코드는 있는데 원장 상태가 「부분」다
P15,주문서 쓰기,다 코드는 있는데 연결 안 됨,STD-ORD-011,쿠폰·배송지 반영 최종 금액 계산,POST /order-sheets/{no}/calculate 로 쿠폰·주소 반영 서버 재계산(calc) 후 dispTotal 표시,김동학,코드는 있는데 원장 상태가 「부분」다
P15,주문서 쓰기,라 결정 미정,STD-ORD-029,결제 직전 재견적(최종 금액을 다시 확정하고 결제로 넘김),생략 → 결제 직전 재견적 인프라(requote.ts·requote/route.ts)는 존재하나 실제 호출은 cart-page.tsx 의 로드시 정규화에서만 쓰이고 checkout-form.tsx(결제 버튼 클릭 시점)에는 requote 호출이 없음 — grep 결과 checkout-form.tsx 에 requote 문자열 0건.,김동학,사람이 정해야 끝나는 안건 — 코드가 없는 것이 결함이 아니다
P15,주문서 쓰기,나 행은 있는데 코드 0,STD-ORD-018,약관 동의(구매·개인정보 제3자),RHF Controller 로 zod agree 필드를 연결한 동의 체크박스(라디오/체크 1개) — 구매·개인정보 제3자 약관을 세분한 다중 체크는 못 찾음(단일 동의로 보임).,김동학,코드·명세를 뒤졌으나 구현을 찾지 못했다
P16,주문 확정하기,가 원장에 행 없음,,주문등록 S2S 실패 재전송·수기 보정,S2S 가 실패하면 주문이 후니로 안 넘어가는데 복구 경로가 원장에 없다,김동학+서희항,원장 735행에 행을 새로 섞지 않는다 — 이 제안으로만 남긴다
P16,주문 확정하기,다 코드는 있는데 연결 안 됨,STD-ORD-019,주문 예약(reserve) 및 금액 검증,결제(POST /payments/reserve → PG 외부창) 주석과 무통장입금 reserve 요청 바디 빌더로 주문 예약·금액 검증 구현.,김동학,코드는 있는데 원장 상태가 「부분」다
P16,주문 확정하기,나 행은 있는데 코드 0,STD-ORD-020,주문 완료 화면·주문번호 발급,OrderCompleteView 컴포넌트와 order-complete/[orderNo] 라우트로 완료 화면·주문번호 표시.,김동학,코드·명세를 뒤졌으나 구현을 찾지 못했다
P16,주문 확정하기,다 코드는 있는데 연결 안 됨,STD-ORD-030,주문 생성 직후 후니 주문등록 S2S 호출(order/register),POST /api/w/v1/order/register(쇼핑몰→후니 260818)가 주문 등록 직후 사양·원고를 쇼핑몰 주문번호에 묶어 보관 — 다만 huni-mall(src/) 전수 grep 결과 이 엔드포인트를 호출하는 코드가 없어 수신측(webadmin) 엔드포인트는 있으나 호출측(huni-mall) 배선은 미착수로 보인다(scope.csv 상태 미착수와 일치).,김동학,코드는 있는데 원장 상태가 「미착수」다
P16,주문 확정하기,나 행은 있는데 코드 0,STD-ORD-031,주문완료 메일/알림 발송,양쪽 저장소 어디에도 주문완료 메일/알림 발송을 구현한 코드가 없음(Shopby 플랫폼 자체 알림 설정에 의존할 가능성 있으나 코드 근거는 없음).,최숙진,코드·명세를 뒤졌으나 구현을 찾지 못했다
P17,주문 조회·후속 처리,다 코드는 있는데 연결 안 됨,STD-ORD-021,주문 상태 조회(회원),ORDER_STATUS_LABEL_KO 매핑과 mypage/orders 상세 페이지로 회원 주문 상태 조회.,김동학,코드는 있는데 원장 상태가 「부분」다
P17,주문 조회·후속 처리,나 행은 있는데 코드 0,STD-ORD-022,비회원 주문 조회(주문번호+휴대전화),실제 구현은 주문번호+주문 비밀번호(password) 기반이며 문서화된 POST /guest/orders/{orderNo}의 mobileNo 파라미터는 UI 폼에서 쓰이지 않음(휴대전화 입력칸 없음) — 요구된 주문번호+휴대전화 방식과 불일치,김동학,코드·명세를 뒤졌으나 구현을 찾지 못했다
P17,주문 조회·후속 처리,다 코드는 있는데 연결 안 됨,STD-ORD-023,주문 상태 머신 전이 표시(결제완료→상품준비→배송준비→배송중→배송완료→구매확정),ORDER_STATUS_LABEL_KO 가 DEPOSIT_WAIT/PAY_DONE/PRODUCT_PREPARE/DELIVERY_PREPARE/DELIVERY_ING/DELIVERY_DONE/BUY_CONFIRM 전 단계를 한글 라벨로 매핑 — 요청된 전이 순서와 정확히 일치.,김동학,코드는 있는데 원장 상태가 「부분」다
P17,주문 조회·후속 처리,나 행은 있는데 코드 0,STD-ORD-024,인쇄 공정 단계 상태 노출(검판·출력·후가공),artwork_promote.py 의 MES 관련 주석은 원고를 MES 에 넘긴다는 내부 파이프라인 설명이지 고객 화면 노출 기능이 아님.,김동학,코드·명세를 뒤졌으나 구현을 찾지 못했다
P17,주문 조회·후속 처리,다 코드는 있는데 연결 안 됨,STD-ORD-025,구매확정(고객·자동),배송중 배송완료 상태의 상품주문을 구매확정 처리하는 API 가 비회원(1950)·회원(6612) 양쪽에 있고 delivery-done(자동/수령확인 2008)도 별도 존재 — 고객 수동 확정과 자동 확정 경로 모두 shopby 스펙에 존재.,김동학,코드는 있는데 원장 상태가 「미착수」다
P17,주문 조회·후속 처리,나 행은 있는데 코드 0,STD-ORD-026,재주문(동일 사양 반복),가이드 스텁 문서 제목 외 실제 재주문(동일 사양 반복) 기능 코드를 찾지 못함.,김동학,코드·명세를 뒤졌으나 구현을 찾지 못했다
P18,오프라인 주문 등록,다 코드는 있는데 연결 안 됨,STD-ORD-027,오프라인 주문 별도 등록 경로,TOrdOrders 모델(models.py:1058)은 order/register S2S 수신 전용이고 오프라인 주문을 위한 별도 등록 화면/API 는 못 찾음.,서희항,코드는 있는데 원장 상태가 「부분」다
P19,결제하기,가 원장에 행 없음,,무통장 입금 확인 → 결제완료 전이,입금대기에서 결제완료로 넘어가는 확인 단계가 원장에 행으로 없다,최숙진,원장 735행에 행을 새로 섞지 않는다 — 이 제안으로만 남긴다
P19,결제하기,다 코드는 있는데 연결 안 됨,STD-PAY-020,카드 결제 화면 분기(비회원·회원 주문서),세션 유무로 CheckoutForm(회원)/GuestCheckoutForm(비회원) 분기 구현됨,김동학,코드는 있는데 원장 상태가 「미착수」다
P19,결제하기,다 코드는 있는데 연결 안 됨,STD-PAY-001,신용카드 결제(PG),신용카드 탭 UI는 있으나 제출 로직이 bank_transfer 외 전부 차단(주석 '카드/PG 연동은 후속') — PG 미연동 확정,김동학,코드는 있는데 원장 상태가 「미착수」다
P19,결제하기,다 코드는 있는데 연결 안 됨,STD-PAY-002,실시간 계좌이체,"실시간계좌이체 탭 UI만 존재, 제출 시 무통장 외 차단(동일 사유)",김동학,코드는 있는데 원장 상태가 「미착수」다
P19,결제하기,나 행은 있는데 코드 0,STD-PAY-004,네이버페이 결제,"huni-mall 코드에 네이버페이 없음. 샵바이 PG 코드값(NAVER_PAY)만 스펙에 존재, 연동 없음",외부(네이버페이),코드·명세를 뒤졌으나 구현을 찾지 못했다
P19,결제하기,나 행은 있는데 코드 0,STD-PAY-005,카카오페이 결제,"카카오페이 동일 — PG 코드값만 존재, huni-mall 연동 없음",외부(카카오페이),코드·명세를 뒤졌으나 구현을 찾지 못했다
P19,결제하기,나 행은 있는데 코드 0,STD-PAY-006,토스페이 결제,"토스페이먼츠 동일 — PG 코드값만 존재, huni-mall 연동 없음",최숙진,코드·명세를 뒤졌으나 구현을 찾지 못했다
P19,결제하기,나 행은 있는데 코드 0,STD-PAY-009,할부·무이자 옵션,안내문구에 '일시불/할부 선택' 언급만 있고 실제 할부 옵션 UI·로직 없음(카드결제 자체 미연동),외부(KG이니시스),코드·명세를 뒤졌으나 구현을 찾지 못했다
P19,결제하기,나 행은 있는데 코드 0,STD-PAY-019,수동카드결제(키인·가상단말 · PC+모바일),"PG 가맹계약 항목, 코드 없음이 정상",외부(KG이니시스),코드·명세를 뒤졌으나 구현을 찾지 못했다
P19,결제하기,다 코드는 있는데 연결 안 됨,STD-PAY-007,적립금(프린팅머니) 결제,"적립금(포인트) 사용액 입력→클램프→reserve 요청 subPayAmt 로 전달, 무통장결제와 결합해 실사용됨",김동학,코드는 있는데 원장 상태가 「부분」다
P19,결제하기,다 코드는 있는데 연결 안 됨,STD-PAY-008,복합결제(적립금+PG 병용),"적립금+무통장 조합은 실사용되나, 원 문구가 요구하는 '적립금+PG(카드 등)' 병용은 PG 자체가 없어 미구현",김동학,코드는 있는데 원장 상태가 「미착수」다
P19,결제하기,나 행은 있는데 코드 0,STD-PAY-010,B2B 후불결제,B2B 후불결제 코드 전무 확인,김동학,코드·명세를 뒤졌으나 구현을 찾지 못했다
P19,결제하기,다 코드는 있는데 연결 안 됨,STD-PAY-013,결제 금액 위변조 검증(서버 재계산 대조),서버 전용 재견적 프록시가 서명된 token 으로 결제 직전 가격을 재계산(위변조 방지). widget-order.ts 는 총액÷10 을 shopby 주문수량으로 치환하는 간접 방식이라 README.md:70-71 에 알려진 이슈로 별도 기재됨,김동학+서희항,코드는 있는데 원장 상태가 「부분」다
P19,결제하기,다 코드는 있는데 연결 안 됨,STD-PAY-031,위젯 총액↔shopby 청구액 「10원×수량」 모델 정합 검증(표시↔청구 불일치 알려진 이슈),"10원×수량 모델을 코드로 구현(SHOPBY_AMOUNT_UNIT=10, amountToOrderCnt) 확인. README 자체가 '표시↔청구 불일치, 별도 과제'로 알려진 이슈 명시 — 정합 검증은 아직 완료 안 됨(scope.csv 상태 '미착수'와 일치)",김동학+서희항,코드는 있는데 원장 상태가 「미착수」다
P19,결제하기,다 코드는 있는데 연결 안 됨,STD-PAY-011,PG 리다이렉트·결제 확정 콜백,NCPPay SDK reservation()→confirmUrl 리다이렉트로 PG 결제확정 콜백 처리 구현,김동학,코드는 있는데 원장 상태가 「부분」다
P19,결제하기,다 코드는 있는데 연결 안 됨,STD-PAY-012,결제 실패 안내·재시도,"NCPPay onError 콜백 시 toast.error 안내 + result=FAIL 시 OrderFailView(장바구니로 돌아가기)만 있음, 전용 재시도 버튼은 없음(부분)",김동학,코드는 있는데 원장 상태가 「미착수」다
P19,결제하기,나 행은 있는데 코드 0,STD-PAY-014,결제 포기 처리,"결제 포기(이탈) 전용 처리 없음, 결제 실패(FAIL) 처리만 존재",김동학,코드·명세를 뒤졌으나 구현을 찾지 못했다
P20,결제수단 개통하기,라 결정 미정,STD-PAY-022,토스 계약 조건 확인(건당 수수료·가입비/연관리비 면제 프로모션·포트원 경유),PG 계약 조건 확인 안건,외부(토스페이먼츠),사람이 정해야 끝나는 안건 — 코드가 없는 것이 결함이 아니다
P20,결제수단 개통하기,라 결정 미정,STD-PAY-023,「자사 상품 전용 선불 충전」 용도 가맹점 심사 가능 여부 사전 확인,PG 가맹 심사 안건,외부(토스페이먼츠),사람이 정해야 끝나는 안건 — 코드가 없는 것이 결함이 아니다
P20,결제수단 개통하기,라 결정 미정,STD-PAY-026,경로별 수수료 차이(이니시스 경유 +0.x% 여부) 확인,가맹 수수료 비교 안건,외부(이니시스·카카오페이),사람이 정해야 끝나는 안건 — 코드가 없는 것이 결함이 아니다
P20,결제수단 개통하기,라 결정 미정,STD-PAY-024,카카오페이 신청 서류·절차 정리 후 전달,행정 절차 안건,신우진,사람이 정해야 끝나는 안건 — 코드가 없는 것이 결함이 아니다
P20,결제수단 개통하기,라 결정 미정,STD-PAY-025,샵바이 어드민의 카카오페이 신청 경로 확인,"샵바이 어드민 신청화면은 UI 전용 기능으로 추정, API 스펙엔 노출 안 됨(실화면 확인은 별도 과제)",김동학,사람이 정해야 끝나는 안건 — 코드가 없는 것이 결함이 아니다
P20,결제수단 개통하기,나 행은 있는데 코드 0,STD-PAY-021,충전은 현금만 수납 — 이니시스 PG 결제와 회계 분리,"회계 정책 확정 안건, 코드 없음이 정상",신우진,코드·명세를 뒤졌으나 구현을 찾지 못했다
P20,결제수단 개통하기,나 행은 있는데 코드 0,STD-PAY-027,결제수단 노출설정 10항목 켜기(PG 승인 후),결제수단 노출설정은 샵바이 셀러어드민 UI 기능으로 추정되나 API 스펙에서 전용 엔드포인트 확인 못함,최숙진,코드·명세를 뒤졌으나 구현을 찾지 못했다
P20,결제수단 개통하기,다 코드는 있는데 연결 안 됨,STD-PAY-029,미입금 주문 자동취소 기간 정책 확정(현재 무통장 7영업일·가상계좌 7일),"정책값 확정 안건, 자동취소 자체는 샵바이 플랫폼이 수행(어드민 설정), huni-mall/스펙에 전용 코드 없음",최숙진,코드는 있는데 원장 상태가 「미착수」다
P21,결제 증빙 발급,다 코드는 있는데 연결 안 됨,STD-PAY-017,사업자정보 등록·관리,사업자정보는 샵바이 워크스페이스(셀러어드민) 등록 필드로 관리. huni-mall 화면은 하드코딩된 표시용 더미(등록·수정 UI 없음),김동학,코드는 있는데 원장 상태가 「부분」다
P21,결제 증빙 발급,다 코드는 있는데 연결 안 됨,STD-PAY-015,현금영수증 발급,"huni-mall 화면은 정적 더미 데이터(버튼 onClick 없음, API 미연동). 샵바이 서버엔 현금영수증 신청 API(POST /guest/orders/{orderNo}/cashReceipt) 자체는 존재",김동학,코드는 있는데 원장 상태가 「미착수」다
P21,결제 증빙 발급,다 코드는 있는데 연결 안 됨,STD-PAY-016,세금계산서 발급 신청·내역,동일 — 화면은 정적 더미. 샵바이 서버 API 는 '발행결과 업데이트'(PUT /orders/tax-invoice)만 존재,김동학,코드는 있는데 원장 상태가 「미착수」다
P21,결제 증빙 발급,나 행은 있는데 코드 0,STD-PAY-018,거래명세서 출력,huni-mall엔 거래명세서 전용 코드 없음(document-section.tsx 는 세금계산서/현금영수증 탭만 있고 명세서 없음). 샵바이 서버엔 GET /profile/orders/{orderNo}/specifications 존재하나 huni-mall 미호출,김동학,코드·명세를 뒤졌으나 구현을 찾지 못했다
P21,결제 증빙 발급,라 결정 미정,STD-PAY-030,거래명세서 어드민 출력항목·수량 표기 확인(A-4),거래명세서 출력항목(shopSpecificationFields·specificationBrief 등) 설정 스키마는 확인. webadmin 실화면 대조는 하지 않음(범위 밖),최숙진,사람이 정해야 끝나는 안건 — 코드가 없는 것이 결함이 아니다
P22,배송비 계산,다 코드는 있는데 연결 안 됨,STD-SHP-007,배송 권역·템플릿 관리,"배송비 템플릿 조회(GET /deliveries/template-groups, GET /deliveries/templates/{templateNo}) API 확인. 등록/수정은 샵바이 셀러어드민 UI(코드 범위 밖)",최숙진,코드는 있는데 원장 상태가 「부분」다
P22,배송비 계산,다 코드는 있는데 연결 안 됨,STD-SHP-001,기본 배송비 부과,"택배 옵션 고정 배송비 3,000원 표시(SHIP_OPTIONS). 실제 청구액은 Shopby 주문서 API(deliveryAmount)가 서버측 결정, 몰 코드는 안내용 상수",최숙진,코드는 있는데 원장 상태가 「부분」다
P22,배송비 계산,다 코드는 있는데 연결 안 됨,STD-SHP-002,무료배송 기준금액 적용,"'10만원이상시 무료배송' 안내문구만 존재, 임계값 판정 로직은 몰에 없음(Shopby 배송비 템플릿이 서버에서 판정)",최숙진,코드는 있는데 원장 상태가 「부분」다
P22,배송비 계산,다 코드는 있는데 연결 안 됨,STD-SHP-003,제주 추가 배송비,"제주 등 지역별 추가배송비는 샵바이 GET /areafees API(어드민 설정)로 관리, huni-mall 코드엔 제주 전용 로직 없음(안내문만)",최숙진,코드는 있는데 원장 상태가 「미착수」다
P22,배송비 계산,다 코드는 있는데 연결 안 됨,STD-SHP-004,도서산간 권역별 추가 배송비,"권역별(도서산간) 추가배송비는 샵바이 areas/areafees API 조합으로 어드민 설정, huni-mall 코드 없음",최숙진,코드는 있는데 원장 상태가 「미착수」다
P22,배송비 계산,나 행은 있는데 코드 0,STD-SHP-005,특정 상품군 무료배송 제외(실사·대형),"상품별 deliveryTemplateNo(product-server-public.yml:1397)로 템플릿을 달리 설정하면 구현 가능하나, 명시적 '무료배송 제외' 필드/코드는 확인 못함",최숙진,코드·명세를 뒤졌으나 구현을 찾지 못했다
P22,배송비 계산,다 코드는 있는데 연결 안 됨,STD-SHP-017,금지 설정 4종 확인(A-14/U-1): 수량비례·중량 배송비 / 최대구매수량 / 즉시할인,t51 선행조사가 샵바이 셀러어드민 실화면(service.shopby.co.kr/delivery/condition/group/list)에서 배송비유형 '무료'(수량/중량 아님)·즉시할인 0·최대구매수량 0 을 gstack 으로 실측 확인(2026-09-16). 코드 아닌 라이브 설정 확인 항목,최숙진,코드는 있는데 원장 상태가 「부분」다
P23,배송 방식·출고 처리,다 코드는 있는데 연결 안 됨,STD-SHP-009,퀵/화물 배송(대형 인쇄물),퀵착불(quick) 옵션 UI는 존재(서울/경기 한정 고객부담 착불 안내). 화물배송(대형 인쇄물) 전용 옵션은 없음(부분),최숙진,코드는 있는데 원장 상태가 「미착수」다
P23,배송 방식·출고 처리,다 코드는 있는데 연결 안 됨,STD-SHP-010,매장 방문수령,매장 방문수령(visit) 옵션 UI 존재(주소·시간 안내 하드코딩),최숙진,코드는 있는데 원장 상태가 「미착수」다
P23,배송 방식·출고 처리,다 코드는 있는데 연결 안 됨,STD-SHP-011,분할배송(건별 부분 출고),분할배송 여부(divideDeliveryYn) 필드가 샵바이 주문 API 스키마에 존재(플랫폼 지원). huni-mall 코드에서 분할배송 UI/처리는 찾지 못했다(src 전수 grep '분할' 0건),최숙진,코드는 있는데 원장 상태가 「미착수」다
P23,배송 방식·출고 처리,나 행은 있는데 코드 0,STD-SHP-012,송장번호 등록(판매자),"webadmin엔 송장 전용 함수 미구현(범용 request() 프록시뿐, t51 선행조사와 일치). 샵바이 서버 API 자체엔 송장등록/상태변경 엔드포인트(PUT /orders/delivery) 존재",서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
P23,배송 방식·출고 처리,나 행은 있는데 코드 0,STD-SHP-013,송장 기반 배송상태 일괄변경,동일 — webadmin 전용 일괄변경 함수 없음. 샵바이 서버엔 PUT /orders/update-invoices(송장번호 변경) 존재,서희항,코드·명세를 뒤졌으나 구현을 찾지 못했다
