sheet,gubun,prd_nm,mes_item_cd,output_paper_value,material_class,note
굿즈파우치(가격포함),폰케이스,블랙젤리,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
굿즈파우치(가격포함),폰케이스,임팩트 젤하드,,,AREA_NA,"굿즈/파우치=완제품 모델, 출력용지규격 비적용"
상품악세사리(가격포함),봉투/케이스,OPP접착봉투,012-0004,,AREA_NA,해당 시트 출력용지규격 컬럼 부재(상품악세사리 완제 부속품)
상품악세사리(가격포함),봉투/케이스,OPP비접착봉투,,,AREA_NA,해당 시트 출력용지규격 컬럼 부재(상품악세사리 완제 부속품)
상품악세사리(가격포함),봉투/케이스,,012-0005,,AREA_NA,해당 시트 출력용지규격 컬럼 부재(상품악세사리 완제 부속품); 상품명 공란(엑셀 미기재·MES만 존재)
상품악세사리(가격포함),봉투/케이스,트래싱지 카드봉투,012-0009,,AREA_NA,해당 시트 출력용지규격 컬럼 부재(상품악세사리 완제 부속품)
상품악세사리(가격포함),봉투/케이스,카드봉투,012-0007,,AREA_NA,해당 시트 출력용지규격 컬럼 부재(상품악세사리 완제 부속품)
상품악세사리(가격포함),봉투/케이스,캘린더봉투,012-0008,,AREA_NA,해당 시트 출력용지규격 컬럼 부재(상품악세사리 완제 부속품)
상품악세사리(가격포함),봉투/케이스,볼체인,012-0015,,AREA_NA,해당 시트 출력용지규격 컬럼 부재(상품악세사리 완제 부속품)
상품악세사리(가격포함),봉투/케이스,와이어링,012-0016,,AREA_NA,해당 시트 출력용지규격 컬럼 부재(상품악세사리 완제 부속품)
상품악세사리(가격포함),봉투/케이스,천정고리,,,AREA_NA,해당 시트 출력용지규격 컬럼 부재(상품악세사리 완제 부속품)
상품악세사리(가격포함),봉투/케이스,투명케이스,012-0006,,AREA_NA,해당 시트 출력용지규격 컬럼 부재(상품악세사리 완제 부속품)
상품악세사리(가격포함),봉투/케이스,행택끈,012-0018,,AREA_NA,해당 시트 출력용지규격 컬럼 부재(상품악세사리 완제 부속품)
상품악세사리(가격포함),봉투/케이스,,012-0017,,AREA_NA,해당 시트 출력용지규격 컬럼 부재(상품악세사리 완제 부속품); 상품명 공란(엑셀 미기재·MES만 존재)
상품악세사리(가격포함),봉투/케이스,,012-0019,,AREA_NA,해당 시트 출력용지규격 컬럼 부재(상품악세사리 완제 부속품); 상품명 공란(엑셀 미기재·MES만 존재)
상품악세사리(가격포함),봉투/케이스,자석고정용고무판,012-0011,,AREA_NA,해당 시트 출력용지규격 컬럼 부재(상품악세사리 완제 부속품)
상품악세사리(가격포함),상품액세서리,우드거치대,012-0012,,AREA_NA,해당 시트 출력용지규격 컬럼 부재(상품악세사리 완제 부속품)
상품악세사리(가격포함),상품액세서리,우드봉,,,AREA_NA,해당 시트 출력용지규격 컬럼 부재(상품악세사리 완제 부속품)
상품악세사리(가격포함),상품액세서리,우드행거,012-0013,,AREA_NA,해당 시트 출력용지규격 컬럼 부재(상품악세사리 완제 부속품)
상품악세사리(가격포함),상품액세서리,만년스탬프 리필잉크,,,AREA_NA,해당 시트 출력용지규격 컬럼 부재(상품악세사리 완제 부속품)
