sheet,prd_nm,level,siz_label,min,max,incr
product-accessory,카드봉투,SIZE,블랙 165 x 115 mm (10장),1,100,1
product-accessory,캘린더봉투,PRODUCT,,1,100,1
product-accessory,캘린더봉투,SIZE,240 x 230 mm (10장),1,100,1
product-accessory,캘린더봉투,SIZE,150 x 310 mm (10장),1,100,1
product-accessory,볼체인,PRODUCT,,1,100,1
product-accessory,볼체인,SIZE,오렌지 (3개1팩),1,100,1
product-accessory,볼체인,SIZE,핑크 (3개1팩),1,100,1
product-accessory,볼체인,SIZE,핫핑크 (3개1팩),1,100,1
product-accessory,볼체인,SIZE,민트그린 (3개1팩),1,100,1
product-accessory,볼체인,SIZE,블루 (3개1팩),1,100,1
product-accessory,볼체인,SIZE,바이올렛 (3개1팩),1,100,1
product-accessory,볼체인,SIZE,블랙 (3개1팩),1,100,1
product-accessory,볼체인,SIZE,화이트 (3개1팩),1,100,1
product-accessory,와이어링,PRODUCT,,1,100,1
product-accessory,와이어링,SIZE,실버,1,100,1
product-accessory,와이어링,SIZE,화이트,1,100,1
product-accessory,와이어링,SIZE,블랙,1,100,1
product-accessory,천정고리,PRODUCT,,1,100,1
product-accessory,천정고리,SIZE,2개1세트,1,100,1
product-accessory,투명케이스,PRODUCT,,1,100,1
product-accessory,투명케이스,SIZE,PP투명케이스 42 x 57 x 20 mm (10개),1,100,1
product-accessory,투명케이스,SIZE,PP투명케이스 75 x 75 x 15 mm (10개),1,100,1
product-accessory,투명케이스,SIZE,PP투명케이스 75 x 110 x 15 mm (10개),1,100,1
product-accessory,행택끈,PRODUCT,,1,100,1
product-accessory,행택끈,SIZE,사각검정 (100개),1,100,1
product-accessory,행택끈,SIZE,사각백색 (100개),1,100,1
product-accessory,행택끈,SIZE,사각마사 (100개),1,100,1
product-accessory,자석고정용고무판,PRODUCT,,1,100,1
product-accessory,자석고정용고무판,SIZE,20 x 20 (20개입),1,100,1
product-accessory,우드거치대,PRODUCT,,1,100,1
product-accessory,우드거치대,SIZE,120mm (4mm홈) 내추럴,1,100,1
product-accessory,우드봉,PRODUCT,,1,100,1
product-accessory,우드봉,SIZE,270mm + 면끈,1,100,1
product-accessory,우드봉,SIZE,360mm + 면끈,1,100,1
product-accessory,우드봉,SIZE,480mm + 면끈,1,100,1
product-accessory,우드행거,PRODUCT,,1,100,1
product-accessory,우드행거,SIZE,230mm + 면끈,1,100,1
product-accessory,우드행거,SIZE,320mm + 면끈,1,100,1
product-accessory,우드행거,SIZE,440mm + 면끈,1,100,1
product-accessory,만년스탬프 리필잉크,PRODUCT,,1,100,1
product-accessory,만년스탬프 리필잉크,SIZE,청보라 (5cc),1,100,1
product-accessory,만년스탬프 리필잉크,SIZE,빨강 (5cc),1,100,1
product-accessory,만년스탬프 리필잉크,SIZE,검정 (5cc),1,100,1
product-accessory,만년스탬프 리필잉크,SIZE,파랑 (5cc),1,100,1
product-accessory,만년스탬프 리필잉크,SIZE,초록 (5cc),1,100,1
product-accessory,만년스탬프 리필잉크,SIZE,핑크 (5cc),1,100,1
product-accessory,만년스탬프 리필잉크,SIZE,노랑 (5cc),1,100,1
