comp_cd,comp_nm,note,comp_typ_cd,use_yn
COMP_POSTER_PET_BANNER,포스터 완제품가(포함항목 통가격) [COMP_POSTER_PET_BANNER],포스터·사인 완제품가(소재+출력+가공 포함 통가격). 사이즈·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_POSTER_SHEETCUT_HOLO,포스터 완제품가(포함항목 통가격) [COMP_POSTER_SHEETCUT_HOLO],포스터·사인 완제품가(소재+출력+가공 포함 통가격). 사이즈·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_POSTER_SHEETCUT_MATTE,포스터 완제품가(포함항목 통가격) [COMP_POSTER_SHEETCUT_MATTE],포스터·사인 완제품가(소재+출력+가공 포함 통가격). 사이즈·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_POSTER_TYVEK_PRINT,포스터 완제품가(포함항목 통가격) [COMP_POSTER_TYVEK_PRINT],포스터·사인 완제품가(소재+출력+가공 포함 통가격). 사이즈·수량별 단가표.,PRC_COMPONENT_TYPE.06,N
COMP_POSTER_WATERPROOF_PET,포스터 완제품가(포함항목 통가격) [COMP_POSTER_WATERPROOF_PET],포스터·사인 완제품가(소재+출력+가공 포함 통가격). 사이즈·수량별 단가표.,PRC_COMPONENT_TYPE.06,N
COMP_PP_CORNER_RIGHT,모서리 비,모서리 직각 가공비. 주문수량 구간별 작업 1건 고정 금액(수량을 곱하지 않음).,PRC_COMPONENT_TYPE.04,Y
COMP_PP_CORNER_ROUND,모서리 둥근,모서리 둥근 가공비. 주문수량 구간별 작업 1건 고정 금액(수량을 곱하지 않음).,PRC_COMPONENT_TYPE.04,Y
COMP_PP_CREASE_1L,오시비,"오시(접는 줄) 1줄,2줄, 3줄 가공비. 주문수량 구간별 작업 1건 고정 금액(수량을 곱하지 않음).",PRC_COMPONENT_TYPE.04,Y
COMP_PP_CREASE_2L,오시 2줄,오시(접는 줄) 2줄 가공비. 주문수량 구간별 작업 1건 고정 금액(수량을 곱하지 않음).,PRC_COMPONENT_TYPE.04,Y
COMP_PP_CREASE_3L,오시 3줄,오시(접는 줄) 3줄 가공비. 주문수량 구간별 작업 1건 고정 금액(수량을 곱하지 않음).,PRC_COMPONENT_TYPE.04,Y
COMP_PP_PERF_1L,미싱비,"미싱(점선 절취) 1줄, 2줄, 3줄 가공비. 주문수량 구간별 작업 1건 고정 금액(수량을 곱하지 않음).",PRC_COMPONENT_TYPE.04,Y
COMP_PP_PERF_2L,미싱 2줄,미싱(점선 절취) 2줄 가공비. 주문수량 구간별 작업 1건 고정 금액(수량을 곱하지 않음).,PRC_COMPONENT_TYPE.04,N
COMP_PP_PERF_3L,미싱 3줄,미싱(점선 절취) 3줄 가공비. 주문수량 구간별 작업 1건 고정 금액(수량을 곱하지 않음).,PRC_COMPONENT_TYPE.04,N
COMP_PP_VARIMG_1EA,가변이미지,"가변 이미지 1개,2개,3개 추가비. 주문수량 구간별 작업 1건  고정 금액(수량을 곱하지 않음).",PRC_COMPONENT_TYPE.04,Y
COMP_PP_VARIMG_2EA,가변이미지 2개,가변 이미지 2개 추가비. 주문수량 구간별 작업 1건 고정 금액(수량을 곱하지 않음).,PRC_COMPONENT_TYPE.04,Y
COMP_PP_VARIMG_3EA,가변이미지 3개,가변 이미지 3개 추가비. 주문수량 구간별 작업 1건 고정 금액(수량을 곱하지 않음).,PRC_COMPONENT_TYPE.04,Y
COMP_PP_VARTEXT_1EA,가변텍스트,"가변 텍스트 1개, 2개, 3개 추가비. 주문수량 구간별 작업 1건 고정 금액(수량을 곱하지 않음).",PRC_COMPONENT_TYPE.04,Y
COMP_PP_VARTEXT_2EA,가변텍스트 2개,가변 텍스트 2개 추가비. 주문수량 구간별 작업 1건 고정 금액(수량을 곱하지 않음).,PRC_COMPONENT_TYPE.04,Y
COMP_PP_VARTEXT_3EA,가변텍스트 3개,가변 텍스트 3개 추가비. 주문수량 구간별 작업 1건 고정 금액(수량을 곱하지 않음).,PRC_COMPONENT_TYPE.04,Y
COMP_PRINT_DIGITAL_S1,디지털인쇄비 출력비,"디지털 인쇄비(단면/양면). 판형사이즈 3절, 국4절,  출력매수·사이즈·도수(흑백/칼라)별 장당 단가표.",PRC_COMPONENT_TYPE.01,Y
COMP_PRINT_DIGITAL_S2,디지털인쇄비,디지털 인쇄비(단면/양면). 출력매수·사이즈·도수(흑백/칼라)별 장당 단가표.,PRC_COMPONENT_TYPE.01,Y
COMP_PRINT_SPOT_CLEAR_S1,별색인쇄비 클리어(단면),별색(클리어) 인쇄비 단면. 출력매수·사이즈별 장당 단가표.,PRC_COMPONENT_TYPE.01,N
COMP_PRINT_SPOT_CLEAR_S2,별색인쇄비 클리어(양면),별색(클리어) 인쇄비 양면. 출력매수·사이즈별 장당 단가표.,PRC_COMPONENT_TYPE.01,N
COMP_PRINT_SPOT_GOLD_S1,별색인쇄비 금색(단면),별색(금색) 인쇄비 단면. 출력매수·사이즈별 장당 단가표.,PRC_COMPONENT_TYPE.01,N
COMP_PRINT_SPOT_GOLD_S2,별색인쇄비 금색(양면),별색(금색) 인쇄비 양면. 출력매수·사이즈별 장당 단가표.,PRC_COMPONENT_TYPE.01,N
COMP_PRINT_SPOT_PINK_S1,별색인쇄비 핑크(단면),별색(핑크) 인쇄비 단면. 출력매수·사이즈별 장당 단가표.,PRC_COMPONENT_TYPE.01,N
COMP_PRINT_SPOT_PINK_S2,별색인쇄비 핑크(양면),별색(핑크) 인쇄비 양면. 출력매수·사이즈별 장당 단가표.,PRC_COMPONENT_TYPE.01,N
COMP_PRINT_SPOT_SILVER_S1,별색인쇄비 은색(단면),별색(은색) 인쇄비 단면. 출력매수·사이즈별 장당 단가표.,PRC_COMPONENT_TYPE.01,N
COMP_PRINT_SPOT_SILVER_S2,별색인쇄비 은색(양면),별색(은색) 인쇄비 양면. 출력매수·사이즈별 장당 단가표.,PRC_COMPONENT_TYPE.01,N
COMP_PRINT_SPOT_WHITE_S1,별색인쇄비,"별색(화이트, 금색, 은색, 클리어, 핑크) 인쇄비 단면/양면. 출력매수·사이즈별 장당 단가표.",PRC_COMPONENT_TYPE.01,Y
COMP_PRINT_SPOT_WHITE_S2,별색인쇄비 화이트(양면),별색(화이트) 인쇄비 양면. 출력매수·사이즈별 장당 단가표.,PRC_COMPONENT_TYPE.01,N
COMP_STK_PACK,스티커 단가(완제품가) [COMP_STK_PACK],스티커 완제품가(출력+가공 포함). 소재·사이즈·수량별 단가표. [.01→.02 합가형 교정·54장1세트],PRC_COMPONENT_TYPE.06,Y
COMP_STK_PRINT,스티커 단가(완제품가) [COMP_STK_PRINT],스티커 완제품가(출력+가공 포함). 소재·사이즈·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
COMP_STK_TATTOO,타투스티커 단가(3장 합가형) [COMP_STK_TATTOO],,,Y
COMP_TTEOKME,떡메모지 단가(완제품가) [COMP_TTEOKME],떡메모지 완제품가. 사이즈·권당 장수·수량별 단가표.,PRC_COMPONENT_TYPE.06,Y
