gap_id,process_id,process_name,대분류,종류,종류설명,내용,제안담당,선행
G-t65-075,P26,관리자 계정·권한·감사로그,시스템·플랫폼,라,라 — 결정 미정,"몰 `/admin` 이 빈 스캐폴드이고 `auth.ts:161` 이 `token.role = ""user""` 를 무조건 넣어 `(admin)/layout.tsx:19` 에서 항상 튕겨낸다. 쓸 것이 아니면 지우고, 쓸 것이면 역할을 실제로 발급해야 한다 — 존폐 결정이 선행이다.",신우진,없음 — 결정 자체가 선행
G-t65-076,P26,관리자 계정·권한·감사로그,시스템·플랫폼,다,다 — 코드는 있는데 연결 안 됨,`proxy.ts:21-23` 에 ADMIN 검사가 주석으로 비활성돼 있고 `use-admins.ts:20` 이 그 위에 서 있다. 역할 기반 권한이 코드에는 있는데 꺼져 있다.,김동학,/admin 존폐 결정
G-t65-077,P27,몰 기초정보·도메인·발송메일 설정,시스템·플랫폼,나,나 — 행은 있는데 코드 0,사업자 정보가 통째로 빈칸이다 — 회사명·사업자등록번호·통신판매업 신고번호·주소·업종/업태·개인정보보호책임자가 모두 비어 있고 대표자명이 「대표 운영자」로 남아 있다. API `serviceBasicInfo` 의 `companyName` 도 빈 문자열이다. 법적 표기 의무라 런칭 차단 사유다.,최숙진,없음 — 바로 착수 가능
G-t65-078,P27,몰 기초정보·도메인·발송메일 설정,시스템·플랫폼,다,다 — 코드는 있는데 연결 안 됨,"도메인이 세 갈래다 — PC 웹 `shopby.huniprinting.com`, 모바일 웹 `shoby.huniprinting.com`, SNS 콜백 PC `shoby.huniprinting.co.kr`. `shopby` 와 `shoby` 철자가 갈려 있어 SNS 로그인 콜백이 어느 쪽으로 돌아오는지 불안정하다.",김동학,없음 — 바로 착수 가능
G-t65-079,P27,몰 기초정보·도메인·발송메일 설정,시스템·플랫폼,다,다 — 코드는 있는데 연결 안 됨,`https://shopby.huniprinting.co.kr/mypage` 로 들어가면 `https://huni-skin-shopby.vercel.app/login?callbackUrl=%2Fmypage` 로 튄다. 고객이 로그인하다가 배포 플랫폼 도메인을 보게 된다.,김동학,도메인 정합 확정
G-t65-080,P28,알림(SMS·알림톡) 설정·발송,시스템·플랫폼,나,나 — 행은 있는데 코드 0,알림톡 템플릿이 0건이다. 채널(@huniprinting)과 발신프로필키는 등록돼 있는데 보낼 내용이 없다. 템플릿은 카카오 검수를 거치므로 리드타임이 있다 — 늦게 시작하면 런칭을 민다.,최숙진,주문 단계별 알림 시점 확정
G-t65-081,P28,알림(SMS·알림톡) 설정·발송,시스템·플랫폼,나,나 — 행은 있는데 코드 0,"SMS·알림톡 사용설정이 둘 다 「사용 안 함」이고, 주문배송 항목도 전부 「사용 안 함」이다. 스위치만 켜면 되는 일과 템플릿을 만들어야 하는 일이 섞여 있다.",최숙진,없음 — 바로 착수 가능
G-t65-082,P28,알림(SMS·알림톡) 설정·발송,시스템·플랫폼,라,라 — 결정 미정,어느 시점에 무엇을 보낼지(주문접수·입금확인·제작시작·출고·클레임 접수·답변 등록)가 목록으로 정해지지 않았다. P01~P07 의 모든 흐름이 이 목록을 기다린다.,신우진,없음 — 결정 자체가 선행
G-t65-083,P29,결제(PG)·배송비 정책 설정,시스템·플랫폼,다,다 — 코드는 있는데 연결 안 됨,PG 설정 쪽 코드는 있다 — `src/lib/payments/ncp-pay.ts:47-70` 과 `src/app/api/pay-config/route.ts:8` 이 동작한다. 그런데 주문서(`checkout-form.tsx:8-9`)에 「PG 연동은 후속 — 현재는 무통장만 동작」 이라고 적혀 있다. 설정과 화면이 이어져 있지 않다.,최숙진,PG 계약·수단 확정
G-t65-084,P29,결제(PG)·배송비 정책 설정,시스템·플랫폼,라,라 — 결정 미정,도서산간 권역 배송비 정책이 확정되지 않았다(1차 런칭 W7-9 로 밀려 있다). 권역 정의가 없으면 주문서에서 배송비가 틀리게 나온다.,최숙진,없음 — 정책 확정
G-t65-085,P29,결제(PG)·배송비 정책 설정,시스템·플랫폼,라,라 — 결정 미정,"1차 런칭을 무통장·가상계좌만으로 열지, 카드까지 열지가 정해지지 않았다. 이 결정이 P03 환불 경로와 P24 정산 대사를 동시에 바꾼다.",신우진,없음 — 결정 자체가 선행
G-t65-086,P30,상품·가격 데이터 동기화(webadmin ↔ 샵바이),시스템·플랫폼,다,다 — 코드는 있는데 연결 안 됨,"동기화가 미는 축이 메인이미지와 전시 여부 둘뿐이고, 상품코드 매핑은 `product-code-map.ts:41-49` 에 **수동 7건**만 등록돼 있다. 상품이 수백 건인데 다리 위에 7건만 올라가 있다.",서희항,P14 상품 등록 정리
G-t65-087,P30,상품·가격 데이터 동기화(webadmin ↔ 샵바이),시스템·플랫폼,나,나 — 행은 있는데 코드 0,위젯 재견적 요청에 `X-Huni-Server-Key` 헤더를 싣는 코드가 몰에 0곳이다. 제공자가 `WAPI_SERVER_KEY_REQUIRED` 를 켜는 순간 재견적이 403 으로 죽는다. 포크(`huni-skin-next/src/lib/printly/server-key.ts`)에는 구현이 있다.,김동학,포크 처리 결정(P37)
G-t65-088,P30,상품·가격 데이터 동기화(webadmin ↔ 샵바이),시스템·플랫폼,라,라 — 결정 미정,상세탭 뷰의 DDL 소유자가 정해져 있지 않다(계약 협상). 몰이 남의 DB 뷰를 직접 읽고 있는데 그 뷰를 누가 바꿀 수 있는지가 없다.,신우진,없음 — 결정 자체가 선행
G-t65-089,P30,상품·가격 데이터 동기화(webadmin ↔ 샵바이),시스템·플랫폼,나,나 — 행은 있는데 코드 0,"웹훅 등록 화면을 셀러어드민에서 찾지 못했다 — 전체메뉴 98링크 중 webhook 0건, Server API `GET /webhooks` 는 404, `/webhooks/failed` 는 400 이다. 주문 발생을 밀어서 받는 길이 없으면 폴링으로 가야 한다.",최숙진,샵바이에 웹훅 지원 여부 문의
G-t65-090,P31,가격 계산 결과 카트 주입 브리지,시스템·플랫폼,나,나 — 행은 있는데 코드 0,담기 전달값에 토큰·원고 저장키·프로젝트 식별자가 평문으로 실린다(`ARCHITECTURE-v2.md` §10 A-13·§3.2·§8 I-2). 서명 검증도 없다 — 고객이 값을 바꿔 담으면 가격이 바뀔 수 있다는 뜻이다.,김동학,없음 — 바로 착수 가능
G-t65-091,P31,가격 계산 결과 카트 주입 브리지,시스템·플랫폼,라,라 — 결정 미정,카트에 들어간 금액이 정산의 권위인지가 관측되지 않았다(`X-SETTLE-AUTH`). P21 매출·P24 대사가 모두 이 답을 기다린다.,신우진,없음 — 관측이 선행
G-t65-092,P31,가격 계산 결과 카트 주입 브리지,시스템·플랫폼,다,다 — 코드는 있는데 연결 안 됨,전달값 라벨이 `huni_order`·`huni_item` 둘이고 `huni_token` 은 등록돼 있지 않다(`GET /products/136578130` 의 `mallProductInputs` 실측). 토큰을 쓰려면 상품 텍스트옵션에 라벨을 먼저 등록해야 한다 — P30 과 같은 뿌리다.,김동학,라벨 등록 여부 결정
G-t65-093,P32,원고 저장소·디자인 에디터 연동,시스템·플랫폼,다,다 — 코드는 있는데 연결 안 됨,업로드 presign(`config/urls.py:251`·`catalog/s3_artwork.py:208-280`)과 확정 승격(`catalog/artwork_promote.py:1`)이 구현돼 있으나 「구현-미검증」이다. 주문 확정 시 임시→확정 승격이 빠짐없이 도는지 확인 기록을 찾지 못했다.,서희항,없음 — 실동작 검증
G-t65-094,P32,원고 저장소·디자인 에디터 연동,시스템·플랫폼,라,라 — 결정 미정,에디터 연동의 담당이 「미정」이고 사내 4담당 경계 밖이다. webadmin 쪽 조회·뷰(`edicus_lookup.py:214-260`·`edicus_views.py:278-674`)는 done 인데 몰 쪽 진입점(`configurator-actions`)은 stub 이다 — 반쪽만 이어져 있다.,신우진,없음 — 담당·범위 결정
G-t65-095,P32,원고 저장소·디자인 에디터 연동,시스템·플랫폼,나,나 — 행은 있는데 코드 0,원고 보관 기간·용량 정책이 없다. 인쇄 원고는 크고 오래 남아 저장 비용이 계속 는다.,서희항,없음 — 정책 작성
G-t65-096,P33,본인인증·주소검색·배송추적 외부 연동,시스템·플랫폼,나,나 — 행은 있는데 코드 0,본인인증 호출 지점이 없다(grep 무결과 · L2 D-17 `endpoint='(호출 지점 없음)'`). 가입·주문 어디에서도 부르지 않는다.,김동학,본인인증 요건 확정
G-t65-097,P33,본인인증·주소검색·배송추적 외부 연동,시스템·플랫폼,나,나 — 행은 있는데 코드 0,택배사 연동·송장·배송추적 경로를 찾지 못했다. 샵바이 계약의 연계서비스 18건에도 택배사가 없다. 주문 계약서에 `deliveryCompanyType` 필드는 있다.,김동학,택배사 계약 확인
G-t65-098,P33,본인인증·주소검색·배송추적 외부 연동,시스템·플랫폼,라,라 — 결정 미정,본인인증이 1차 런칭에 필요한지가 정해지지 않았다. 인쇄물 주문에 성인인증 요건이 있는 품목이 있는지부터 확인해야 한다.,신우진,없음 — 요건 확인
G-t65-099,P34,고객 유입·전환 품질(분석·SEO·반응형·리다이렉트),시스템·플랫폼,나,나 — 행은 있는데 코드 0,분석 도구가 없다 — `src` 전역에서 `gtag|GA4|googletagmanager|analytics` grep 이 한 건도 안 나온다. 오픈 뒤 무엇이 안 되는지 숫자로 말할 근거가 안 쌓인다.,김동학,없음 — 바로 착수 가능
G-t65-100,P34,고객 유입·전환 품질(분석·SEO·반응형·리다이렉트),시스템·플랫폼,나,나 — 행은 있는데 코드 0,`sitemap|robots` grep 도 무결과다. 검색 색인을 통제하지 못한다.,김동학,없음 — 바로 착수 가능
G-t65-101,P34,고객 유입·전환 품질(분석·SEO·반응형·리다이렉트),시스템·플랫폼,나,나 — 행은 있는데 코드 0,구 URL 리다이렉트 맵과 구 사이트 종료 계획이 없다. 구 사이트로 들어오던 고객이 어디로 갈지 정해지지 않았다.,김동학,구 사이트 종료 시점 결정
G-t65-102,P34,고객 유입·전환 품질(분석·SEO·반응형·리다이렉트),시스템·플랫폼,라,라 — 결정 미정,반응형은 화면 단위 목록에 행이 없는 횡단 품질축이라 「어디까지 하면 끝인가」가 없다. 위젯 높이 2130px 실측이 유일한 근거다.,김동학,없음 — 기준 정의
G-t65-103,P35,장애 모니터링·백업복구·서버 환경,시스템·플랫폼,나,나 — 행은 있는데 코드 0,몰에 전역 오류 화면이 없다 — `error.tsx`·`not-found.tsx`·`global-error.tsx` 가 0개다. 고객이 Next 기본 404/500 을 그대로 본다. 포크에는 세 파일이 다 있다.,김동학,없음 — 바로 착수 가능
G-t65-104,P35,장애 모니터링·백업복구·서버 환경,시스템·플랫폼,다,다 — 코드는 있는데 연결 안 됨,`console.error` 24건이 요청 ID 없이 흩어져 있어 한 고객의 한 요청을 꿰어 볼 수 없다. 포크에 구조화 로그·요청 ID 구현이 있다.,김동학,포크 처리 결정(P37)
G-t65-105,P35,장애 모니터링·백업복구·서버 환경,시스템·플랫폼,나,나 — 행은 있는데 코드 0,"DB 스냅샷·복구 리허설 기록이 없다. 백업이 돌고 있는지, 돌아도 되돌릴 수 있는지 확인된 적이 없다 — 「되돌릴 수 있다」는 해 본 적이 있어야 사실이다.",서희항,없음 — 리허설 수행
G-t65-106,P35,장애 모니터링·백업복구·서버 환경,시스템·플랫폼,라,라 — 결정 미정,PitStop 서버 환경(Windows·RAM 16GB·AWS 별도 인스턴스)이 미확보이고 담당이 외부다. 검판이 생산의 관문이라 t64 흐름 전체가 여기에 걸린다.,신우진,없음 — 조달 결정
G-t65-107,P36,보안 강화(프록시 가드·XSS·CSP·개인정보),시스템·플랫폼,나,나 — 행은 있는데 코드 0,"`/api/shopby/[...path]/route.ts:20-30` 이 인증도 경로 제한도 없이 파트너 비밀 토큰을 붙여 중계한다. 감사 보고서가 C1(Critical)·H1 로 잡아 둔 항목이고, 포크에는 `shopby-proxy-guard.ts` 의 default-deny 구현이 이미 있다.",김동학,없음 — 바로 착수 가능
G-t65-108,P36,보안 강화(프록시 가드·XSS·CSP·개인정보),시스템·플랫폼,나,나 — 행은 있는데 코드 0,`notice/[articleNo]/page.tsx:69` 와 `configurator.tsx:77` 이 `dangerouslySetInnerHTML` 로 본문을 그대로 렌더한다. 운영자 계정이 하나 뚫리면 저장형 XSS 로 번진다. 포크에 `sanitize.ts` 가 있다.,김동학,없음 — 바로 착수 가능
G-t65-109,P36,보안 강화(프록시 가드·XSS·CSP·개인정보),시스템·플랫폼,나,나 — 행은 있는데 코드 0,`next.config.ts:1-17` 에 `headers()` 가 없어 보안 응답 헤더·CSP 가 하나도 안 나간다. 포크는 CSP 를 Report-Only 로 먼저 켰다.,김동학,없음 — 바로 착수 가능
G-t65-110,P37,코드베이스 정비·포크 처리·CI·문서,시스템·플랫폼,라,라 — 결정 미정,"포크(`huni-skin-next`)에 M0~M7 20커밋이 쌓여 있는데 remote 가 없고, 그 사이 원본 main 에 4커밋이 더 들어가 포크에 반영되지 않았다. 이 카드의 여러 항목(서버키 P30·로그 P35·보안 P36·타임아웃 P15)이 「포크에 이미 있다」로 걸려 있어, 포크 처리 결정 하나가 그 전부의 선행이다.",신우진,없음 — 결정 자체가 선행
G-t65-111,P37,코드베이스 정비·포크 처리·CI·문서,시스템·플랫폼,나,나 — 행은 있는데 코드 0,회귀 테스트가 0개이고 CI 가 없다(`.github/workflows/` 에 `label-sync.yml` 만). 포크에는 테스트 14파일·108케이스와 `ci.yml` 이 있다. 지금 상태로는 이 카드의 어떤 수정도 「안 깨졌다」를 증명할 수 없다.,김동학,포크 처리 결정
G-t65-112,P37,코드베이스 정비·포크 처리·CI·문서,시스템·플랫폼,다,다 — 코드는 있는데 연결 안 됨,"환경변수가 세 곳에서 어긋난다 — 코드가 참조하는 키(`HUNI_WIDGET_SITE_KEY`·`SHOPBY_NOTICE_BOARD_NO`)가 `.env.example`(21키)에 없고, `vercel-env-push.sh` 는 쓰지 않는 `GRAPHQL` 2종을 밀고, `DEMO_AUTH_*` 는 아무도 안 쓴다.",김동학,없음 — 바로 착수 가능
G-t65-113,P37,코드베이스 정비·포크 처리·CI·문서,시스템·플랫폼,라,라 — 결정 미정,Prisma 로컬 DB(23테이블)의 소비자가 0이다(`src/lib/prisma.ts` 정의 파일 외 참조 0). 그런데 `package.json` 의 `postinstall` 이 매번 `prisma generate` 를 돌린다. 지울지 쓸지 정해야 한다.,김동학,없음 — 결정
G-t65-114,P38,런칭 범위·조직·일정 결정,시스템·플랫폼,라,라 — 결정 미정,오픈 목표일이 확정되지 않아 무엇을 1차에서 뺄지가 정해지지 않는다. 이 카드의 「라」 항목 대부분이 「1차에 넣는가」를 먼저 물어야 답이 나온다.,채훈희,없음 — 결정 자체가 선행
G-t65-115,P38,런칭 범위·조직·일정 결정,시스템·플랫폼,라,라 — 결정 미정,webadmin 영역 분리(쇼핑몰 관리자 영역 vs DB·생산 영역)가 미정이라 P26 권한 설계와 P30 동기화 책임 경계가 같이 멈춰 있다.,신우진,없음 — 결정 자체가 선행
G-t65-116,P38,런칭 범위·조직·일정 결정,시스템·플랫폼,가,가 — 원장에 행 없음,2주 테스트 시나리오가 원장에 행으로 없다 — `STD-SYS-032` 안에 문구로만 들어 있다. 시나리오를 누가 쓰고 누가 도는지가 작업 행으로 서 있지 않다.,신우진,오픈 목표일 확정
G-t65-117,P38,런칭 범위·조직·일정 결정,시스템·플랫폼,라,라 — 결정 미정,`STD-SYS-027`(기술 책임 총괄 = CTO)은 원장 판정이 「불필요」다 — 확정 사실 기록이지 작업이 아니다. 단계로는 두되 잔여 작업으로 세지 않는다.,—,없음
