화면,매뉴얼 원문 위치,요소(설명 발췌),selector,경로,경로 종류,실측 결과,data-owner,data-work,note
[webadmin] 상품 › 상품별 디자인 › design_md_main,manual_content.py:770,"디자인 목록 — 썸네일·태그·고정 사양·표시여부가 한 줄씩. [수정]은 같은 팝업, [삭제]는 복구 가능한 논리삭제.",#dsn-dbody,/admin/design-md/,읽기+쓰기,동작확인(https://huni-admin.printly.co.kr/admin/design-md/@2026-09-17 07:57:48),huni,dev,선행조작: click #dsn-plist .row / 쓰기 부분 dev 필요
[webadmin] 상품 › 상품별 디자인 › design_md_modal,manual_content.py:778,[파일 선택] — 썸네일 업로드(메인이미지 화면과 같은 방식).,#dsn-modal .filebtn,/admin/design-md/,쓰기,쓰기경로-dev환경필요,huni,dev,
[webadmin] 상품 › 상품별 디자인 › design_md_modal,manual_content.py:779,[+ 고정 사양 추가] — 대상(본품/구성원)+항목+값 행을 추가합니다.,#dsnm-spec-add,/admin/design-md/,쓰기,쓰기경로-dev환경필요,huni,dev,
[webadmin] 상품 › 상품별 디자인 › design_md_modal,manual_content.py:780,[저장 후 계속 추가] — 창을 닫지 않고 연속 등록(값 유지·순서 자동 +1).,#dsnm-save-more,/admin/design-md/,쓰기,쓰기경로-dev환경필요,huni,dev,
[webadmin] 상품 › 상품별 디자인 › design_md_modal,manual_content.py:781,[저장] — 저장하고 닫기.,#dsnm-save,/admin/design-md/,쓰기,쓰기경로-dev환경필요,huni,dev,
[webadmin] 기준정보 › 사이즈정보 (표준 관리 화면 예시) › size_changelist,manual_content.py:792,추가 — 새 레코드 등록 폼으로 이동(모든 표준 화면 공통).,a[href$='/add/'],/admin/catalog/tsizsizes/,쓰기,쓰기경로-dev환경필요,huni,dev,
[webadmin] 기준정보 › 사이즈정보 (표준 관리 화면 예시) › size_changelist,manual_content.py:793,검색 — 상단 검색창으로 목록을 좁힙니다(검색 가능한 화면).,#searchbar,/admin/catalog/tsizsizes/,읽기,동작확인(https://huni-admin.printly.co.kr/admin/catalog/tsizsizes/@2026-09-17 07:57:52),huni,dev,
[webadmin] 기준정보 › 사이즈정보 (표준 관리 화면 예시) › size_changelist,manual_content.py:794,목록 표 — 행/우측 버튼으로 변경 화면 진입. 컬럼 헤더로 정렬합니다.,#result_list,/admin/catalog/tsizsizes/,읽기+쓰기,동작확인(https://huni-admin.printly.co.kr/admin/catalog/tsizsizes/@2026-09-17 07:57:52),huni,dev,쓰기 부분 dev 필요
[위젯빌더] 화면 구성 › wb_layout,widget_manual_content.py:190,상품 선택 — 위젯을 만들 상품. 검색해서 고릅니다(위젯 개수·최근 작업일 표시).,#wb-prd-host,/admin/widget-builder/,읽기,동작확인(/admin/widget-builder/?prd=PRD_000031&wgt=WGT_000249@2026-09-17 08:26:32 KST),huni,dev,
[위젯빌더] 화면 구성 › wb_layout,widget_manual_content.py:191,위젯 선택 — 그 상품에 만들어 둔 위젯 목록.,#wb-wgt-host,/admin/widget-builder/,읽기,동작확인(/admin/widget-builder/?prd=PRD_000031&wgt=WGT_000249@2026-09-17 08:26:32 KST),huni,dev,
[위젯빌더] 화면 구성 › wb_layout,widget_manual_content.py:192,팔레트(부품 목록) — 이 상품이 쓸 수 있는 컴포넌트. 여기서 캔버스로 끌어다 놓습니다.,#wb-pal,/admin/widget-builder/,읽기,동작확인(/admin/widget-builder/?prd=PRD_000031&wgt=WGT_000249@2026-09-17 08:26:32 KST),huni,dev,
[위젯빌더] 화면 구성 › wb_layout,widget_manual_content.py:193,캔버스 — 실제 배치. 항목을 클릭하면 속성창이 열립니다.,#wb-canvas,/admin/widget-builder/,읽기,동작확인(/admin/widget-builder/?prd=PRD_000031&wgt=WGT_000249@2026-09-17 08:26:32 KST),huni,dev,
[위젯빌더] 화면 구성 › wb_layout,widget_manual_content.py:124,속성창 — 선택한 항목의 설정. 컴포넌트마다 항목이 다릅니다.,#wb-props,/admin/widget-builder/,읽기,동작확인(/admin/widget-builder/?prd=PRD_000031&wgt=WGT_000249@2026-09-17 08:26:32 KST),huni,dev,
[위젯빌더] 화면 구성 › wb_layout,widget_manual_content.py:195,상태바 — 이 상품(과 표지·내지 같은 구성원)의 필수공정. 후가공 항목을 올리지 않아도 자동으로 가격·주문서에 들어가는 공정입니다.,#wb-statusbar,/admin/widget-builder/,쓰기,쓰기경로-dev환경필요,huni,dev,
[위젯빌더] 상단바 버튼 › wb_toolbar,widget_manual_content.py:205,"＋ 새 위젯 — 이름을 묻고, 템플릿이 있으면 목록에서 골라 시작합니다(빈 위젯으로 시작할 수도 있습니다).",#wb-new,/admin/widget-builder/,읽기,동작확인(/admin/widget-builder/?prd=PRD_000031&wgt=WGT_000249@2026-09-17 08:26:33 KST),huni,dev,
[위젯빌더] 상단바 버튼 › wb_toolbar,widget_manual_content.py:206,구성 — 캔버스만 넓게 보며 배치에 집중하는 모드.,#tab-build,/admin/widget-builder/,읽기,동작확인(/admin/widget-builder/?prd=PRD_000031&wgt=WGT_000249@2026-09-17 08:26:33 KST),huni,dev,
[위젯빌더] 상단바 버튼 › wb_toolbar,widget_manual_content.py:207,나란히 — 캔버스와 미리보기를 좌우로. 위젯을 열면 기본으로 이 모드입니다.,#tab-split,/admin/widget-builder/,읽기,동작확인(/admin/widget-builder/?prd=PRD_000031&wgt=WGT_000249@2026-09-17 08:26:33 KST),huni,dev,
[위젯빌더] 상단바 버튼 › wb_toolbar,widget_manual_content.py:208,미리보기 — 고객 화면만 크게. 실제 임베드와 같은 렌더러입니다.,#tab-preview,/admin/widget-builder/,읽기,동작확인(/admin/widget-builder/?prd=PRD_000031&wgt=WGT_000249@2026-09-17 08:26:33 KST),huni,dev,
[위젯빌더] 상단바 버튼 › wb_toolbar,widget_manual_content.py:209,실행취소 (Ctrl+Z) — 최근 100단계까지 되돌립니다.,#wb-undo,/admin/widget-builder/,읽기,동작확인(/admin/widget-builder/?prd=PRD_000031&wgt=WGT_000249@2026-09-17 08:26:33 KST),huni,dev,
[위젯빌더] 상단바 버튼 › wb_toolbar,widget_manual_content.py:210,다시실행 (Ctrl+Shift+Z).,#wb-redo,/admin/widget-builder/,읽기,동작확인(/admin/widget-builder/?prd=PRD_000031&wgt=WGT_000249@2026-09-17 08:26:33 KST),huni,dev,
[위젯빌더] 상단바 버튼 › wb_toolbar,widget_manual_content.py:211,게시 — 지금 작업본을 버전으로 굳혀 고객 화면에 내보냅니다.,#wb-publish,/admin/widget-builder/,쓰기,쓰기경로-dev환경필요,huni,dev,
[위젯빌더] 상단바 버튼 › wb_toolbar,widget_manual_content.py:212,버전… — 게시 이력 목록과 롤백.,#wb-vers,/admin/widget-builder/,읽기+쓰기,동작확인(/admin/widget-builder/?prd=PRD_000031&wgt=WGT_000249@2026-09-17 08:26:33 KST),huni,dev,쓰기 부분 dev 필요
[위젯빌더] 상단바 버튼 › wb_toolbar,widget_manual_content.py:213,템플릿 지정 — 이 위젯을 '새 위젯 만들기'의 출발점으로 쓸 수 있게 합니다(지정돼 있으면 템플릿 해제).,#wb-tmpl-tgl,/admin/widget-builder/,읽기,동작확인(/admin/widget-builder/?prd=PRD_000031&wgt=WGT_000249@2026-09-17 08:26:33 KST),huni,dev,
[위젯빌더] 상단바 버튼 › wb_toolbar,widget_manual_content.py:214,삭제 — 이 위젯을 지웁니다(사용 현황을 먼저 보여 주고 2단계로 확인).,#wb-del-wgt,/admin/widget-builder/,읽기+쓰기,동작확인(/admin/widget-builder/?prd=PRD_000031&wgt=WGT_000249@2026-09-17 08:26:33 KST),huni,dev,쓰기 부분 dev 필요
[위젯빌더] 상단바 버튼 › wb_toolbar,widget_manual_content.py:215,저장 상태 — '변경됨(자동저장 대기)' → '저장 중…' → '마지막 저장 N초 전'.,#wb-save-st,/admin/widget-builder/,쓰기,쓰기경로-dev환경필요,huni,dev,
[위젯빌더] 상단바 버튼 › wb_toolbar,widget_manual_content.py:216,이 상품 다른 화면에서 열기 — 상품정보 · 상품 뷰어 · 가격 뷰어 · Edicus 템플릿 연결 · 작업가이드 파일 · 메인이미지 · 디자인 화면을 지금 상품이 선택된 채 새 탭으로 엽니다(상품 화면 8곳에 같은 ,#prdjump,/admin/widget-builder/,읽기,동작확인(/admin/widget-builder/?prd=PRD_000031&wgt=WGT_000249@2026-09-17 08:26:33 KST),huni,dev,
[위젯빌더] 팔레트(부품 목록) › wb_palette,widget_manual_content.py:230,컴포넌트 검색 — 이름·코드로 목록을 좁힙니다.,#wb-pal-search,/admin/widget-builder/,읽기,동작확인(/admin/widget-builder/?prd=PRD_000031&wgt=WGT_000249@2026-09-17 08:26:35 KST),huni,dev,
[위젯빌더] 팔레트(부품 목록) › wb_palette,widget_manual_content.py:231,분류 머리글 — 클릭하면 그 묶음이 접힙니다(소스—차원 / 옵션그룹 / 수량·추가상품 / 구조 요소 / 파일·에디터).,.pal-cat,/admin/widget-builder/,쓰기,쓰기경로-dev환경필요,huni,dev,
[위젯빌더] 팔레트(부품 목록) › wb_palette,widget_manual_content.py:232,손잡이(⠿) — 이 행을 캔버스로 끌어다 놓습니다.,.pal-item .grip,/admin/widget-builder/,읽기,동작확인(/admin/widget-builder/?prd=PRD_000031&wgt=WGT_000249@2026-09-17 08:26:35 KST),huni,dev,
[위젯빌더] 캔버스 편집 › wb_canvas,widget_manual_content.py:243,"항목 카드 — 클릭=선택(속성창 열림), 끌기=이동.",.witem,/admin/widget-builder/,읽기,동작확인(/admin/widget-builder/?prd=PRD_000031&wgt=WGT_000249@2026-09-17 08:26:36 KST),huni,dev,
[위젯빌더] 캔버스 편집 › wb_canvas,widget_manual_content.py:244,패널 — 접기 그룹. 이 안으로 항목을 끌어 넣으면 함께 접혔다 펴집니다.,.panel-i,/admin/widget-builder/,읽기,동작확인(/admin/widget-builder/?prd=PRD_000031&wgt=WGT_000249@2026-09-17 08:26:36 KST),huni,dev,
[위젯빌더] 캔버스 편집 › wb_canvas,widget_manual_content.py:245,↑↓ — 드래그 대신 순서를 한 칸씩 옮깁니다.,[data-mv],/admin/widget-builder/,읽기,동작확인(/admin/widget-builder/?prd=PRD_000031&wgt=WGT_000249@2026-09-17 08:26:36 KST),huni,dev,
[위젯빌더] 캔버스 편집 › wb_canvas,widget_manual_content.py:246,× — 항목 삭제(확인 후).,[data-del],/admin/widget-builder/,읽기+쓰기,동작확인(/admin/widget-builder/?prd=PRD_000031&wgt=WGT_000249@2026-09-17 08:26:36 KST),huni,dev,쓰기 부분 dev 필요
[위젯빌더] 미리보기 · 나란히 보기 › wb_split,widget_manual_content.py:256,"미리보기 폭(px) — 320~800. [−][＋] 또는 숫자 직접 입력. 좁은 화면에서 어떻게 보이는지 확인용. 여기서 고른 폭이 상한이 되고, 자리가 모자라면 그 안에서 자동으로 줄어듭니다(최소 320).",#wb-zoom-val,/admin/widget-builder/,읽기,동작확인(/admin/widget-builder/?prd=PRD_000031&wgt=WGT_000249@2026-09-17 08:26:41 KST),huni,dev,
[위젯빌더] 미리보기 · 나란히 보기 › wb_split,widget_manual_content.py:257,"가격 진단 — 미리보기 가격이 어떻게 계산됐는지/왜 안 나오는지 상세(가격 소스·구성요소별 매칭/제외 사유·할인 단계·오류 전문). 셋트 상품은 표지·내지 구성원마다 구성요소 표와 계산식(단가 × 장수/판수, 야리지",#wb-diag-btn,/admin/widget-builder/,읽기+쓰기,동작확인(/admin/widget-builder/?prd=PRD_000031&wgt=WGT_000249@2026-09-17 08:26:41 KST),huni,dev,쓰기 부분 dev 필요
[위젯빌더] 게시 · 버전 · 롤백 › wb_versions,widget_manual_content.py:273,"상태 배지 — 작성중 / 게시됨 / 게시중단, 템플릿이면 템플릿 배지도. 게시한 뒤 내용을 고치면 수정 있음 · 재게시 필요 칩이 함께 뜹니다 — 고객 화면에는 아직 게시 당시 내용이 나가고 있다는 뜻이라, [게시]",#wb-sts,/admin/widget-builder/,읽기+쓰기,동작확인(/admin/widget-builder/?prd=PRD_000031&wgt=WGT_000249@2026-09-17 08:26:44 KST),huni,dev,쓰기 부분 dev 필요
[위젯빌더] 게시 · 버전 · 롤백 › wb_versions,widget_manual_content.py:276,"버전 목록 — 게시할 때마다 스냅샷이 쌓입니다. 활성 버전에 활성 표시, 나머지에는 [이 버전으로 롤백].",#wb-vers-panel,/admin/widget-builder/,읽기+쓰기,동작확인(/admin/widget-builder/?prd=PRD_000031&wgt=WGT_000249@2026-09-17 08:26:44 KST),huni,dev,쓰기 부분 dev 필요
[위젯빌더] 게시 · 버전 · 롤백 › wb_versions,widget_manual_content.py:277,게시 중단 — 고객 화면에서만 내립니다(버전은 그대로 보존). 내린 뒤에는 같은 자리가 [다시 게시]로 바뀝니다.,#wb-sts-tgl,/admin/widget-builder/,쓰기,쓰기경로-dev환경필요,huni,dev,
[위젯빌더] 게시 · 버전 · 롤백 › wb_versions,widget_manual_content.py:213,템플릿 지정 — 게시와 무관한 기능이라 상단바에 따로 있습니다.,#wb-tmpl-tgl,/admin/widget-builder/,쓰기,쓰기경로-dev환경필요,huni,dev,
[위젯빌더] 상태바 — 필수공정 자동 청구 › wb_statusbar,widget_manual_content.py:293,필수공정 자동 청구 — 「본품: 중철제본 · 표지: 디지털인쇄 · 내지: 디지털인쇄」처럼 스코프별 필수공정. 핑크 테두리는 작업자 전용 표식(가격 진단 버튼과 같은 계열). 필수공정이 없는 상품은 회색 「필수공정 없,.sb-mand,/admin/widget-builder/,읽기,동작확인(/admin/widget-builder/?prd=PRD_000031&wgt=WGT_000249@2026-09-17 08:26:38 KST),huni,dev,
[위젯빌더] 좁은 화면 · 패널 접기 › wb_pane_rail,widget_manual_content.py:385,접힌 컴포넌트 띠 — 핀을 풀면 팔레트가 이 세로 띠로 접힙니다. 띠를 누르거나 마우스를 올리면 다시 펼쳐집니다.,#wb-pal-hd,/admin/widget-builder/,쓰기,쓰기경로-dev환경필요,huni,dev,
[위젯빌더] 좁은 화면 · 패널 접기 › wb_pane_rail,widget_manual_content.py:386,접힌 속성 띠 — 속성창도 같은 방식. 캔버스에서 다른 항목을 고르면 저절로 펼쳐집니다.,#wb-props-hd,/admin/widget-builder/,읽기,동작확인(/admin/widget-builder/?prd=PRD_000031&wgt=WGT_000249@2026-09-17 08:27:10 KST),huni,dev,
[위젯빌더] 좁은 화면 · 패널 접기 › wb_pane_rail,widget_manual_content.py:241,넓어진 캔버스 — 양쪽을 접은 만큼 편집 영역이 넓어집니다.,#wb-canvas-wrap,/admin/widget-builder/,읽기,동작확인(/admin/widget-builder/?prd=PRD_000031&wgt=WGT_000249@2026-09-17 08:27:10 KST),huni,dev,
[위젯빌더] 좁은 화면 · 패널 접기 › wb_pane_open,widget_manual_content.py:395,겹쳐 열린 팔레트 — 캔버스 위에 떠서 열립니다. 캔버스가 옆으로 밀리지 않으므로 배치가 흔들리지 않습니다.,#wb-pal-bd,/admin/widget-builder/,읽기,동작확인(/admin/widget-builder/?prd=PRD_000031&wgt=WGT_000249@2026-09-17 08:28:02 KST),huni,dev,
[위젯빌더] 좁은 화면 · 패널 접기 › wb_pane_open,widget_manual_content.py:396,다시 고정 — 겹쳐 열린 상태에서 이 핀을 누르면 예전처럼 캔버스 옆에 붙습니다.,#wb-pal-pin2,/admin/widget-builder/,읽기,동작확인(/admin/widget-builder/?prd=PRD_000031&wgt=WGT_000249@2026-09-17 08:28:02 KST),huni,dev,
[위젯빌더] 좁은 화면 · 패널 접기 › wb_narrow,widget_manual_content.py:203,두 줄로 접힌 상단바 — 좁아지면 버튼이 잘리는 대신 줄을 나눕니다. 글자는 접히지 않습니다.,#wb-top,/admin/widget-builder/,읽기,동작확인(/admin/widget-builder/?prd=PRD_000031&wgt=WGT_000249@2026-09-17 08:27:08 KST),huni,dev,
[위젯빌더] 좁은 화면 · 패널 접기 › wb_narrow,widget_manual_content.py:207,잠긴 [나란히] — 캔버스 자리가 600px 아래로 좁아지면 회색으로 잠깁니다(사라지지는 않습니다).,#tab-split,/admin/widget-builder/,읽기,동작확인(/admin/widget-builder/?prd=PRD_000031&wgt=WGT_000249@2026-09-17 08:27:08 KST),huni,dev,
[위젯빌더] 상품별 위젯 관리 › wm_list,widget_manual_content.py:475,검색 — 상품명·코드로 좁힙니다.,#wm-q,/admin/widget-manager/,읽기,동작확인(/admin/widget-manager/@2026-09-17 08:24:19 KST),huni,dev,
[위젯빌더] 상품별 위젯 관리 › wm_list,widget_manual_content.py:476,상태 필터 — 게시됨 / 작성중 있음 / 게시중단 / 위젯 없음 으로 좁혀 봅니다.,#wm-filter,/admin/widget-manager/,읽기+쓰기,동작확인(/admin/widget-manager/@2026-09-17 08:24:19 KST),huni,dev,쓰기 부분 dev 필요
[위젯빌더] 상품별 위젯 관리 › wm_list,widget_manual_content.py:477,"상품 트리 — 상품마다 배지로 게시 N · 중단 N · 작성 N, 위젯이 없으면 위젯 없음.",#wm-items,/admin/widget-manager/,읽기+쓰기,동작확인(/admin/widget-manager/@2026-09-17 08:24:19 KST),huni,dev,쓰기 부분 dev 필요
[위젯빌더] 상품별 위젯 관리 › wm_detail,widget_manual_content.py:484,상품 설정 요약 — 파일업로드·편집기·비규격. N 이면 빌더 팔레트에서 그 부품이 잠깁니다(원인을 여기서 바로 확인).,.wm-flags,/admin/widget-manager/?prd=PRD_000016,읽기+쓰기,동작확인(/admin/widget-manager/?prd=PRD_000016@2026-09-17 08:24:22 KST),huni,dev,쓰기 부분 dev 필요
[위젯빌더] 상품별 위젯 관리 › wm_detail,widget_manual_content.py:485,상태 요약 — 이 상품의 게시됨·게시중단·작성중 개수.,.wm-sum,/admin/widget-manager/?prd=PRD_000016,쓰기,쓰기경로-dev환경필요,huni,dev,
[위젯빌더] 상품별 위젯 관리 › wm_detail,widget_manual_content.py:486,빌더에서 열기 ↗ — 그 위젯이 선택된 채로 빌더가 열립니다.,.wm-act .go,/admin/widget-manager/?prd=PRD_000016,읽기,동작확인(/admin/widget-manager/?prd=PRD_000016@2026-09-17 08:24:22 KST),huni,dev,
[위젯빌더] 상품별 위젯 관리 › wm_detail,widget_manual_content.py:487,게시 중단 — 고객 화면에서 내립니다(버전은 그대로 보존).,.wm-act .warn,/admin/widget-manager/?prd=PRD_000016,쓰기,쓰기경로-dev환경필요,huni,dev,
[위젯빌더] 상품별 위젯 관리 › wm_detail,widget_manual_content.py:488,삭제 — 사용 현황을 보여 주고 2단계로 확인받습니다.,.wm-act .danger,/admin/widget-manager/?prd=PRD_000016,읽기+쓰기,동작확인(/admin/widget-manager/?prd=PRD_000016@2026-09-17 08:24:22 KST),huni,dev,쓰기 부분 dev 필요
[위젯빌더] 위젯 템플릿 관리 › wt_screen,widget_manual_content.py:500,＋ 템플릿 지정 — 아직 템플릿이 아닌 위젯을 검색해 고르면 템플릿이 됩니다.,text=＋ 템플릿 지정,/admin/widget-templates/,읽기,동작확인(/admin/widget-templates/@2026-09-17 08:25:29 KST),huni,dev,
[위젯빌더] 위젯 템플릿 관리 › wt_screen,widget_manual_content.py:501,템플릿 목록 — 상품 구분 없이 전체가 한 목록입니다(상품별 템플릿이 아닙니다).,#tm-items,/admin/widget-templates/,읽기,동작확인(/admin/widget-templates/@2026-09-17 08:25:29 KST),huni,dev,
[위젯빌더] 위젯 템플릿 관리 › wt_screen,widget_manual_content.py:502,다른 상품에 쓸 때 주의 — 이 템플릿에 상품 종속 항목(옵션그룹·추가상품·셋트 구성원)이 몇 개인지 알려 줍니다.,.tm-note,/admin/widget-templates/,쓰기,쓰기경로-dev환경필요,huni,dev,
[위젯빌더] 위젯 템플릿 관리 › wt_screen,widget_manual_content.py:503,템플릿 목록에서 빼기 — 삭제가 아닙니다. 위젯은 그대로 남고 '템플릿에서 시작' 목록에서만 빠집니다.,text=템플릿 목록에서 빼기,/admin/widget-templates/,읽기+쓰기,동작확인(/admin/widget-templates/@2026-09-17 08:25:29 KST),huni,dev,쓰기 부분 dev 필요
[위젯빌더] 위젯 템플릿 관리 › wt_screen,widget_manual_content.py:504,이름 — 제목을 고치고 Enter 또는 [이름 저장]. 이름만 바뀌고 구성은 그대로입니다.,text=이름 저장,/admin/widget-templates/,쓰기,쓰기경로-dev환경필요,huni,dev,
[webadmin] 상품 › 상품정보,manual_content.py:811,상품 마스터(표준 목록·편집). 옵션·구성 편집은 '상품 뷰어' 사용을 권장합니다. 비규격여부·파일업로드여부·편집기여부 같은 <b>스위치는 여기서만</b> 켭니다(아래 필드 사전 참고).,(콜아웃 없음 — 화면 1건=요소 1건),,읽기,동작확인(/admin/catalog/tprdproducts/@2026-09-17 08:16:47 KST),huni,dev,
[webadmin] 상품 › 추가상품 템플릿,manual_content.py:363,끼워팔기용 추가상품 템플릿 관리(구 '구성템플릿/SKU').,(콜아웃 없음 — 화면 1건=요소 1건),,읽기,동작확인(/admin/catalog/tprdtemplates/@2026-09-17 08:16:49 KST),huni,dev,
[webadmin] 기준정보 › 사이즈정보,manual_content.py:264,완제품 사이즈(가로×세로)·조판 여부. 태그로 분류·검색할 수 있습니다.,(콜아웃 없음 — 화면 1건=요소 1건),,읽기,동작확인(/admin/catalog/tsizsizes/@2026-09-17 08:16:50 KST),huni,dev,
[webadmin] 기준정보 › 도수정보,manual_content.py:815,인쇄 도수(색 수) 마스터(예: 흑백·컬러).,(콜아웃 없음 — 화면 1건=요소 1건),,읽기,동작확인(/admin/catalog/tclrcolorcounts/@2026-09-17 08:16:51 KST),huni,dev,
[webadmin] 기준정보 › 인쇄옵션,manual_content.py:816,인쇄 방식·앞뒷면 도수 등 인쇄옵션 기준정보. 상품별 표시명은 상품 뷰어의 '도수/인쇄옵션' 섹션에서 붙입니다.,(콜아웃 없음 — 화면 1건=요소 1건),,읽기,동작확인(/admin/catalog/tprtprintoptions/@2026-09-17 08:16:53 KST),huni,dev,
[webadmin] 기준정보 › 공정정보,manual_content.py:817,"공정 마스터. <b>면별선택여부</b>(박·형압을 앞/뒤 따로), <b>고객노출설명</b>(위젯 물음표 툴팁), <b>스와치이미지</b>(위젯 견본)가 여기 있습니다. <b>책등 계산 설정</b>(여유분·올림 방식·",(콜아웃 없음 — 화면 1건=요소 1건),,읽기,동작확인(/admin/master/proc/@2026-09-17 08:16:54 KST),huni,dev,
[webadmin] 기준정보 › 자재정보,manual_content.py:821,자재 마스터. 스와치 이미지·태그를 지원합니다. 종이는 '용지 관리' 화면이 더 편합니다.,(콜아웃 없음 — 화면 1건=요소 1건),,읽기,동작확인(/admin/master/mat/@2026-09-17 08:16:55 KST),huni,dev,
[webadmin] 가격 관리 › 가격공식 / 가격구성요소 / 할인테이블 (표준 목록),manual_content.py:822,표준 목록 화면. 실제 편집은 위의 각 MD 화면이 편합니다.,(콜아웃 없음 — 화면 1건=요소 1건),,읽기,동작확인(/admin/catalog/tprcpriceformulas/@2026-09-17 08:28:55 KST),huni,dev,
[webadmin] 고객관리 › 고객,manual_content.py:823,고객 마스터.,(콜아웃 없음 — 화면 1건=요소 1건),,읽기,동작확인(/admin/catalog/tcuscustomers/@2026-09-17 08:28:53 KST),huni,dev,데이터 0건 — 빈 상태 정상 렌더
[webadmin] 인증 및 권한 › 사용자,manual_content.py:824,관리자 계정·권한 관리.,(콜아웃 없음 — 화면 1건=요소 1건),,읽기,동작확인(/admin/auth/user/@2026-09-17 08:16:59 KST),huni,dev,
[webadmin] 기준정보 › 기초코드정보,manual_content.py:464,화면 1건 — 매뉴얼 캡처 master_basecode 는 콜아웃이 0개라 화면 렌더(기초코드 목록)를 요소로 센다,table tbody tr,/admin/basecode-master/,읽기,동작확인(/admin/basecode-master/@2026-09-17 13:43:11 KST),huni,dev,분모 보강(리드 판정 260917) · 행 23 렌더 · 클릭 0 · 다이얼로그 0
[webadmin] 상품 › 상품별 작업가이드 파일,manual_content.py:1435,화면 1건 — 매뉴얼 섹션 없음(HELP_FALLBACK_OK 잠정 예외),table tbody tr,/admin/guide-file-md/,읽기,불일치(/admin/guide-file-md/@2026-09-17 13:43:11 KST · 화면은 248행 렌더 · 매뉴얼 섹션 없음),huni,dev,분모 보강(리드 판정 260917) · 매뉴얼 섹션 없음(메뉴 지도 갭 ★) · 개발자 전달
[webadmin] 상품 › 상품별 메인이미지,manual_content.py:1434,화면 1건 — 매뉴얼 섹션 없음(HELP_FALLBACK_OK 잠정 예외),table tbody tr,/admin/main-img-md/,읽기,불일치(/admin/main-img-md/@2026-09-17 13:43:40 KST · 화면은 248행 렌더(약 29초) · 매뉴얼 섹션 없음),huni,dev,분모 보강(리드 판정 260917) · 매뉴얼 섹션 없음(메뉴 지도 갭 ★) · 개발자 전달 · 로딩 약 29초
